Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Period,Num_Ind,Ratio_Ind_Avail,Density,Density_Err,Prop_Ind_Avail,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Pan_kg_Avail,Pan_BM_Avail,Pan_Prop_BM_Avail,Pan_Ratio_BM_Avail,Scat_n_Tot,Scat_n_Prey,n_Occ_Anal,Abs_FO,Abs_FO_CI,Rel_FO,Rel_FO_CI,Rel_FO_Anal,Ratio_Occ,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Err_Prop_BM_Consumed,Pan_BM_Consumed,Pan_Tot_BM_Consumed,Pan_Prop_BM_Cons,Pan_Ratio_BM_Cons,BM_Equiv,n_Kills_Tot,n_Kills_Prey,n_Kill_Anal,Prop_Kills,Ratio_Kills,Prop_Kills_Anal,Perc_Kills_Anal,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,,,BM_Use,Jacobs_BM,Ivlevs_BM,Chesson_BM,Period_Code,A_C_Code,A_Code,C_Code,Study_Code,Area_Code,Scat_Kill,n_Prey_Species
,Dolapchiev 2022,Osogovo Mountain,650,Wild boar,Sus scrofa,Sus scrofa,2020 (spring-autumn),384,0.1131741821,0.59,,0.1015490534,,,84.5,,,32448,49.855,0.2989213529,0.4269293924,60,44,,73.3,,,,,,,,,,49.06,58.333,0.8410333773,5.290628707,,,,,,,,,Wild,,,found in larger groups than deer and is much easier to detect by sound and smell. large bodied,0.06,,,,,,,,B,,,DOV22OOM,OOM,Scat,2
,Dolapchiev 2022,Osogovo Mountain,650,Roe deer,Capreolus capreolus,Capreolus capreolus,2020 (spring-autumn),3393,8.8359375,5.22,,0.8984509466,,,22.4,,,76003.2,116.928,0.7010786471,2.342307692,60,15,,25,,,,,,,,,,9.273,58.333,0.1589666227,0.1890134529,,,,,,,,,Wild,,,found in smaller groups than wild boar,0.06,,,,,,,,B,,,DOV22OOM,OOM,Scat,2
,Ferretti 2019,Uccellina Hills,70,Fallow deer,Dama dama,Dama dama,May 2016-April 2017,686,0.4298245614,9.8,2.2,0.3,,,56.2,,,38553.2,550.76,0.2754915741,0.3802461976,83,,,,,0.5,0.13,,,,,,,,,,,,,,,,,,,Wild,,,"Can form large social groups (which contain a larger proportion of young/juveniles in the summer). Can reach local densities of 40-50 ind/km^2 in ecotones (abandoned olive groves which have been partly recolonized, pastures with some scrubs, meadows, and grasslands. Groups of up to tens of individuals. Females and younf individuals cannot rely on large antlers for defence. ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". Culled for population control purposes",,,,,,,,,A,,,FEI19UCH,UCH,Scat,3
,Ferretti 2019,Uccellina Hills,70,Roe deer,Capreolus capreolus,Capreolus capreolus,May 2016-April 2017,539,0.3092369478,7.7,3.5,0.24,,,22.4,,,12073.6,172.48,0.08627494135,0.09442111775,83,,,,,0.1,0.08,,,,,,,,,,,,,,,,,,,Wild,,,"Gregarious mostly in winter (group size increases with habitat openess, but usually less than 10 individuals) in other seasons generally just solitary individuals or a mother with fawns. Thus greater detectability in winter than other seasons. ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" Greatest roe deer densities seen in scrubwood/ecotones (dense scrubby vegetation on steep rocky ground which was avoided by fallow deer). ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". ",,,,,,,,,A,,,FEI19UCH,UCH,Scat,3
,Ferretti 2019,Uccellina Hills,70,Wild boar,Sus scrofa,Sus scrofa,May 2016-April 2017,1057,0.8628571429,15.1,5.6,0.46,,,84.5,,,89316.5,1275.95,0.6382334846,1.764213816,83,,,,,0.4,0.13,,,,,,,,,,,,,,,,,,,Wild,,,"Can form large social groups (which contain a larger proportion of young/juveniles in the summer). Noisy, easily detectable.  Males have large body size and longer tusks and ""active defence of piglets by mothers"" might make them more costly or dangerous than fallow deer. Culled and captured for population control",,,,,,,,,A,,,FEI19UCH,UCH,Scat,3
,Ferretti 2019,Uccellina Hills,70,Fallow deer,Dama dama,Dama dama,May 2017-April 2018,672,0.4776119403,9.6,2.2,0.33,,,56.2,,,37766.4,539.52,0.3055022338,0.4398894406,251,,,,,0.5,0.07,,,,,,,,,,,,,,,,,,,Wild,,,"Can form large social groups (which contain a larger proportion of young/juveniles in the summer). Can reach local densities of 40-50 ind/km^2 in ecotones (abandoned olive groves which have been partly recolonized, pastures with some scrubs, meadows, and grasslands. Groups of up to tens of individuals. Females and younf individuals cannot rely on large antlers for defence. ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". Culled for population control purposes",,,,,,,,,A,,,FEI19UCH,UCH,Scat,3
,Ferretti 2019,Uccellina Hills,70,Roe deer,Capreolus capreolus,Capreolus capreolus,May 2017-April 2018,532,0.3438914027,7.6,3.2,0.26,,,22.4,,,11916.8,170.24,0.09639809514,0.1066820406,251,,,,,0.06,0.03,,,,,,,,,,,,,,,,,,,Wild,,,"Gregarious mostly in winter (group size increases with habitat openess, but usually less than 10 individuals) in other seasons generally just solitary individuals or a mother with fawns. Thus greater detectability in winter than other seasons. ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" Greatest roe deer densities seen in scrubwood/ecotones (dense scrubby vegetation on steep rocky ground which was avoided by fallow deer). ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". ",,,,,,,,,A,,,FEI19UCH,UCH,Scat,3
,Ferretti 2019,Uccellina Hills,70,Wild boar,Sus scrofa,Sus scrofa,May 2017-April 2018,875,0.726744186,12.5,3.8,0.41,,,84.5,,,73937.5,1056.25,0.598099671,1.488179103,251,,,,,0.44,0.07,,,,,,,,,,,,,,,,,,,Wild,,,"Can form large social groups (which contain a larger proportion of young/juveniles in the summer). Noisy, easily detectable.  Males have large body size and longer tusks and ""active defence of piglets by mothers"" might make them more costly or dangerous than fallow deer. Culled and captured for population control",,,,,,,,,A,,,FEI19UCH,UCH,Scat,3
Density 95% CI reported by original density source (Valente et al 2014) = 0.68-2.21,Figueiredo 2020,Montesinho Natural Park,350,Roe deer,Capreolus capreolus,Capreolus capreolus,2017-2019,430.5,0.07454545455,1.23,,0.06937394247,24,Estimated based on literature,22.4,29.52,,9643.2,27.552,0.01304288549,0.01321525049,85,37,64,44,,39,,,1.37037037,,,0.233,,22.8734,80.3872,0.2845403248,0.3977028122,,,,,,,,,Wild,,,,,,,,,,,,E-5-2,,,FIO20MNP,MNP,Scat,6
Density 95% CI reported by original density source (Torres et al 2015) = 3.65-9.25,Figueiredo 2020,Montesinho Natural Park,350,Red deer,Cervus elaphus,Cervus elaphus,2017-2019,2033.5,0.4874161074,5.81,,0.3276931754,100,Estimated based on literature,240,581,,488040,1394.4,0.6600972536,1.942018005,85,23,64,27,,24,,,0.5609756098,,,0.273,,54.257,80.3872,0.6749457625,2.076409672,,,,,,,,,Wild,,,,,,,,,,,,E-5-2,,,FIO20MNP,MNP,Scat,6
,Figueiredo 2020,Montesinho Natural Park,350,Cattle,Bos taurus,Bos taurus,2017-2019,189,0.03141361257,0.54,,0.03045685279,,,613,,,115857,331.02,0.156702089,0.1858205587,85,0,64,0,,0,,,0,,,0,,0,80.3872,0,0,,,,,,,,,Livestock,guarded,,Sheperds and guard dogs accompany cattle and small ruminants during the day. Semi-confined farming systems dominant in area.,,,,,,,,,E-8-2,,,FIO20MNP,MNP,Scat,6
PanTheria has no distiction between wild or domestic pigs.,Figueiredo 2020,Montesinho Natural Park,350,Domestic pig,Sus scrofa domesticus,Sus scrofa scrofa,2017-2019,3.5,0.0005643340858,0.01,,0.0005640157924,,,84.5,,,295.75,0.845,0.000400015906,0.0004001759827,85,0,64,0,,0,,,0,,,0,,0,80.3872,0,0,,,,,,,,,Livestock,,,,,,,,,,,,E-8-2,,,FIO20MNP,MNP,Scat,6
,Figueiredo 2020,Montesinho Natural Park,350,Sheep,Ovis aries,Ovis aries,2017-2019,3223.5,1.080985915,9.21,,0.5194585448,,,34.2,,,110243.7,314.982,0.1491098344,0.1752398141,85,0,64,0,,0,,,0,,,0,,0,80.3872,0,0,,,,,,,,,Livestock,guarded,,Sheperds and guard dogs accompany cattle and small ruminants during the day. Semi-confined farming systems dominant in area.,,,,,,,,,E-8-2,,,FIO20MNP,MNP,Scat,6
,Figueiredo 2020,Montesinho Natural Park,350,Domestic goat,Capra hircus,Capra hircus,2017-2019,325.5,0.05535714286,0.93,,0.0524534687,28.5,Estimated based on literature,46.9,26.505,,15265.95,43.617,0.02064792162,0.02108324685,85,4,64,5,,4,,,0.06666666667,,,0.02599,,3.2568,80.3872,0.04051391266,0.04222459627,,,,,,,,,Livestock,semi-guarded,,Sheperds and guard dogs accompany cattle and small ruminants during the day. Semi-confined farming systems dominant in area. negative selection likely due to increased livestock protection measures.,,,,,,,,,E-8-2,,,FIO20MNP,MNP,Scat,6
"Density recorded here for winter is pellets per transect and their standard error. Only 0.02 deer/km^2 overwinter in this region, the rest migrate to a deer yard 15km away",Forbes 1996,Algonquin Park A,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,Winters 1987-1992,,0.01075268817,0.1,0.02,0.09893617021,75,Average of both adult sexes combined,75,,,,7.5,0.001673808249,0.00167661458,208,,,,,9.1,,,,,,0.043,,,,,,,,,,,,,,Wild,,,,,,,,,,,,P-5-5,,,FOS96AGP-A,AGP-A,Scat,2
71% of the 41 carcasses were scavenged animals that died of winter tick infestation. 0.5 moose/km^2 ,Forbes 1996,Algonquin Park A,,Moose,Alces alces,Alces alces,Winters 1987-1992,,93,9.3,0.5,0.01063829787,444.25,Average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,,4473.3,0.9983261918,596.44,208,,,,,49.2,,,,,,0.873,,,,,,,,,,,,,,Wild,,,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,,,,,,,P-5-5,,,FOS96AGP-A,AGP-A,Scat,2
,Forbes 1996,Algonquin Park B,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,Winters 1987-1992,,0.125,0.9,0.05,1.148148148,75,Average of both adult sexes combined,75,,,,67.5,0.01911802192,0.01949064449,461,,,,,32.5,,,,,,0.225,,,,,,,,,,,,,,Wild,,,,,,,,,,,,P-5-5,,,FOS96AGP-B,AGP-B,Scat,2
0.45 moose/km^2,Forbes 1996,Algonquin Park B,,Moose,Alces alces,Alces alces,Winters 1987-1992,,8,7.2,0.6,0.1111111111,444.25,Average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,,3463.2,0.9808819781,51.30666667,461,,,,,26.6,,,,,,0.646,,,,,,,,,,,,,,Wild,,,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,,,,,,,P-5-5,,,FOS96AGP-B,AGP-B,Scat,2
"""Deer (Odocoileus virginianus) were believed to be absent in the region until the mid-1880s, peaked to chronic overpopulation in the 1950s and early 1960s, and became locally extirpated by the mid 1970s""",Forbes 1996,Algonquin Park C,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,Winters 1987-1992,,0.1728395062,1.4,0.3,0.7578947368,75,Average of both adult sexes combined,75,,,,105,0.02624278323,0.02695002695,767,,,,,27.1,,,,,,0.135,,,,,,,,,,,,,,Wild,,,,,,,,,,,,P-5-5,,,FOS96AGP-C,AGP-C,Scat,2
0.45 moose/km^2,Forbes 1996,Algonquin Park C,,Moose,Alces alces,Alces alces,Winters 1987-1992,,5.785714286,8.1,0.6,0.1473684211,444.25,Average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,,3896.1,0.9737572168,37.10571429,767,,,,,40.1,,,,,,0.717,,,,,,,,,,,,,,Wild,,,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,,,,,,,P-5-5,,,FOS96AGP-C,AGP-C,Scat,2
Density recorded here for summer is tracks per transect,Forbes 1996,Algonquin Park A,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,Summers 1987-1992,,0.05025125628,1,0.01,0.3875598086,"75 (adult), 19 (fawn)",Fawn is based off of weight of calves in July (external source). Adult weight is the average of both adult sexes combined,75,,,,75,0.007774518239,0.007835434971,371,,,,,8.6,,,,,,0.047,,,,,,,,,,,,,,Wild,,,,,,,,,,,,P-5-5,,,FOS96AGP-A,AGP-A,Scat,2
,Forbes 1996,Algonquin Park A,,Moose,Alces alces,Alces alces,Summers 1987-1992,,19.9,19.9,2.5,0.04784688995,"444.25 (adult), 40 (calf)",Calf is based off of weight of calves in July (external source). Adult weight is the average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,,9571.9,0.9922254818,127.6253333,371,,,,,48.7,,,,,,0.821,,,,,,,,,,,,,,Wild,,,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,,,,,,,P-5-5,,,FOS96AGP-A,AGP-A,Scat,2
,Forbes 1996,Algonquin Park B,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,Summers 1987-1992,,0.7464788732,10.6,1.5,0.8024193548,"75 (adult), 19 (fawn)",Fawn is based off of weight of calves in July (external source). Adult weight is the average of both adult sexes combined,75,,,,795,0.1042595604,0.1163948347,186,,,,,38.9,,,,,,0.273,,,,,,,,,,,,,,Wild,,,,,,,,,,,,P-5-5,,,FOS96AGP-B,AGP-B,Scat,2
,Forbes 1996,Algonquin Park B,,Moose,Alces alces,Alces alces,Summers 1987-1992,,1.339622642,14.2,1.6,0.4274193548,"444.25 (adult), 40 (calf)",Calf is based off of weight of calves in July (external source). Adult weight is the average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,,6830.2,0.8957404396,8.591446541,186,,,,,24.7,,,,,,0.576,,,,,,,,,,,,,,Wild,,,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,,,,,,,P-5-5,,,FOS96AGP-B,AGP-B,Scat,2
,Forbes 1996,Algonquin Park C,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,Summers 1987-1992,,0.6954022989,12.1,1.5,0.4813559322,"75 (adult), 19 (fawn)",Fawn is based off of weight of calves in July (external source). Adult weight is the average of both adult sexes combined,75,,,,907.5,0.09782362643,0.1084307119,823,,,,,36.4,,,,,,0.248,,,,,,,,,,,,,,Wild,,,,,,,,,,,,P-5-5,,,FOS96AGP-C,AGP-C,Scat,2
,Forbes 1996,Algonquin Park C,,Moose,Alces alces,Alces alces,Summers 1987-1992,,1.438016529,17.4,1.3,0.4101694915,"444.25 (adult), 40 (calf)",Calf is based off of weight of calves in July (external source). Adult weight is the average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,,8369.4,0.9021763736,9.222479339,823,,,,,32.4,,,,,,0.64,,,,,,,,,,,,,,Wild,,,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,,,,,,,P-5-5,,,FOS96AGP-C,AGP-C,Scat,2
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,2000/01 S,1710,0.2768334143,3.27,,0.2168435013,110.4,,240,361.008,0.526408805,410400,784.8,0.7080374156,2.425096411,716,,,,,,,,,,,0.396,,,,,,,,,,,,,,Wild,,,,,,,0.7522670523,-0.2579833882,-0.1413785344,0.3521371711,,,,,GAA07AVS,AVS,Scat,3
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,2000/01 S,3206,0.6848963897,6.13,,0.4064986737,25,,22.4,153.25,0.2234636057,71814.4,137.312,0.1238812864,0.1413978317,716,,,,,,,,,,,0.144,,,,,,,,,,,,,,Wild,,,,,,,0.6444002349,-0.2621643346,-0.2162489141,0.3016445757,,,,,GAA07AVS,AVS,Scat,3
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2000/01 S,2971,0.6043531326,5.68,,0.3766578249,30.2,,32.8,171.536,0.2501275893,97448.8,186.304,0.168081298,0.202040533,716,,,,,,,,,,,0.185,,,,,,,,,,,,,,Wild,,,,,,,0.7396225282,-0.1901089289,-0.1496746953,0.3462182532,,,,,GAA07AVS,AVS,Scat,3
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,2000/01 W,1140,0.3625954198,2.18,,0.2661782662,110.4,,240,240.672,0.5882646252,273600,523.2,0.7536472378,3.059219759,716,,,,,,,,,,,0.645,,,,,,,,,,,,,,Wild,,,,,,,1.096445328,0.1195931388,0.04600421809,0.3633126816,,,,,GAA07AVS,AVS,Scat,3
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,2000/01 W,1313,0.4419387412,2.51,,0.3064713065,25,,22.4,62.75,0.1533772322,29411.2,56.224,0.08098826892,0.08812539185,716,,,,,,,,,,,0.23,,,,,,,,,,,,,,Wild,,,,,,,1.499570677,0.2449391349,0.1998625931,0.4968902963,,,,,GAA07AVS,AVS,Scat,3
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2000/01 W,1831,0.7464329393,3.5,,0.4273504274,30.2,,32.8,105.7,0.2583581426,60056.8,114.8,0.1653644933,0.1981277959,716,,,,,,,,,,,0.109,,,,,,,,,,,,,,Wild,,,,,,,0.4218949669,-0.4801955727,-0.4065736546,0.1397970221,,,,,GAA07AVS,AVS,Scat,3
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,2001/02 S,1485,0.3004856333,2.84,,0.2310821806,110.4,,240,313.536,0.5466089728,356400,681.6,0.7244035574,2.628493861,716,,,,,,,,,,,0.22,,,,,,,,,,,,,,Wild,,,,,,,0.4024815013,-0.6208103718,-0.4260437646,0.2899448863,,,,,GAA07AVS,AVS,Scat,3
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,2001/02 S,2547,0.656443299,4.87,,0.3962571196,25,,22.4,121.75,0.2122551874,57052.8,109.088,0.1159385787,0.1311431264,716,,,,,,,,,,,0.174,,,,,,,,,,,,,,Wild,,,,,,,0.8197679507,-0.1224595557,-0.09904122622,0.5905551546,,,,,GAA07AVS,AVS,Scat,3
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2001/02 S,2395,0.5939980159,4.58,,0.3726606998,30.2,,32.8,138.316,0.2411358398,78556,150.224,0.1596578639,0.1899915011,716,,,,,,,,,,,0.04,,,,,,,,,,,,,,Wild,,,,,,,0.1658816044,-0.7681485644,-0.7154400519,0.1194999591,,,,,GAA07AVS,AVS,Scat,3
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,2001/02 W,1140,0.3700097371,2.18,,0.2701363073,110.4,,240,240.672,0.5922309551,273600,523.2,0.7560081843,3.098498129,716,,,,,,,,,,,0.715,,,,,,,,,,,,,,Wild,,,,,,,1.20729927,0.2666917084,0.09391534404,0.4542214071,,,,,GAA07AVS,AVS,Scat,3
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,2001/02 W,1224,0.4084084084,2.34,,0.2899628253,25,,22.4,58.5,0.1439532263,27417.6,52.416,0.07573953553,0.08194609468,716,,,,,,,,,,,0.187,,,,,,,,,,,,,,Wild,,,,,,,1.29903306,0.1553391815,0.130069056,0.4887343502,,,,,GAA07AVS,AVS,Scat,3
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2001/02 W,1857,0.7855329949,3.55,,0.4399008674,30.2,,32.8,107.21,0.2638158186,60909.6,116.44,0.1682522802,0.2022876362,716,,,,,,,,,,,0.04,,,,,,,,,,,,,,Wild,,,,,,,0.1516209309,-0.7916783302,-0.7366825718,0.05704424269,,,,,GAA07AVS,AVS,Scat,3
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,2002/03 S,1548,0.3303457106,2.96,,0.2483221477,110.4,,240,326.784,0.5685612677,371520,710.4,0.7407345618,2.857050931,716,,,,,,,,,,,0.361,,,,,,,,,,,,,,Wild,,,,,,,0.6349359699,-0.3998791176,-0.2232894968,0.2556611392,,,,,GAA07AVS,AVS,Scat,3
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,2002/03 S,2275,0.5746400606,4.35,,0.3649328859,25,,22.4,108.75,0.1892107259,50960,97.44,0.1016007541,0.113090872,716,,,,,,,,,,,0.274,,,,,,,,,,,,,,Wild,,,,,,,1.448120864,0.2358380842,0.1830468711,0.5830953787,,,,,GAA07AVS,AVS,Scat,3
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2002/03 S,2411,0.6306565524,4.61,,0.3867449664,30.2,,32.8,139.222,0.2422280063,79080.8,151.208,0.1576646841,0.1871756784,716,,,,,,,,,,,0.097,,,,,,,,,,,,,,Wild,,,,,,,0.4004491532,-0.4969549237,-0.428113256,0.1612434821,,,,,GAA07AVS,AVS,Scat,3
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,2002/03 W,1166,0.3891855808,2.23,,0.2801507538,110.4,,240,246.192,0.6046358559,279840,535.2,0.7656477105,3.267080139,716,,,,,,,,,,,0.412,,,,,,,,,,,,,,Wild,,,,,,,0.6814018652,-0.3715855397,-0.1894836335,0.1506929229,,,,,GAA07AVS,AVS,Scat,3
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,2002/03 W,1213,0.4113258732,2.32,,0.2914572864,25,,22.4,58,0.1424452445,27171.2,51.968,0.07434450714,0.08031552528,716,,,,,,,,,,,0.511,,,,,,,,,,,,,,Wild,,,,,,,3.587343345,0.7256926177,0.5640178095,0.7933457211,,,,,GAA07AVS,AVS,Scat,3
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2002/03 W,1783,0.7494745691,3.41,,0.4283919598,30.2,,32.8,102.982,0.2529188995,58482.4,111.848,0.1600077824,0.19048722,716,,,,,,,,,,,0.064,,,,,,,,,,,,,,Wild,,,,,,,0.2530455419,-0.6639326411,-0.5961111812,0.05596135598,,,,,GAA07AVS,AVS,Scat,3
,Guimarães 2022,Pol’ana PLA,425,Red deer,Cervus elaphus,Cervus elaphus,Winter 2015-2017,1342,0.09395785199,1.876,,0.05522682446,,,240,,,322080,450.24,0.06882649331,0.07391371513,100,44,102,,,41.9,,,0.7586206897,,,0.721,,103.796,155.0524,0.669425304,2.025034922,,,,,,,,,Wild,,,,,,,,,,,,P-3-3,,,GUS22PAP,PAP,Scat,6
,Guimarães 2022,Pol’ana PLA,425,Roe deer,Capreolus capreolus,Capreolus capreolus,Winter 2015-2017,1140,0.07870210563,1.591,,0.04683682181,,,22.4,,,25536,35.6384,0.005447908003,0.005477750282,100,27,102,,,25.7,,,0.36,,,0.069,,16.6914,155.0524,0.1076500589,0.1206365956,,,,,,,,,Wild,,,small and agile. Less negatively affected by snow than wild boar.,,,,,,,,,P-3-3,,,GUS22PAP,PAP,Scat,6
,Guimarães 2022,Pol’ana PLA,425,Wild boar,Sus scrofa,Sus scrofa,Winter 2015-2017,449,0.02958618872,0.632,,0.01860519886,,,84.5,,,37940.5,53.404,0.008163668374,0.008230862405,100,31,102,,,29.5,,,0.4366197183,,,0.21,,34.565,155.0524,0.2229246371,0.2868764701,,,,,,,,,Wild,,,assumed to be more negatively affected by snow depth that roe deer due to smaller body size and greater hindrance of mobility,,,,,,,,,P-3-3,,,GUS22PAP,PAP,Scat,6
,Guimarães 2022,Pol’ana PLA,425,Cattle,Bos taurus,Bos taurus,Winter 2015-2017,3647,0.3044748706,8.581,,0.2526126763,,,613,,,2235611,5260.153,0.8040997807,4.104639512,100,0,102,,,0,,,0,,,0,,0,155.0524,0,0,,,,,,,,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,,,,,P-3-3,,,GUS22PAP,PAP,Scat,6
,Guimarães 2022,Pol’ana PLA,425,Sheep,Ovis aries,Ovis aries,Winter 2015-2017,8574,1.215997731,20.175,,0.5939238718,,,34.2,,,293230.8,689.985,0.1054754086,0.1179122516,100,0,102,,,0,,,0,,,0,,0,155.0524,0,0,,,,,,,,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,,,,,P-3-3,,,GUS22PAP,PAP,Scat,6
,Guimarães 2022,Pol’ana PLA,425,Goat,Capra hircus,Capra hircus,Winter 2015-2017,473,0.03121700106,1.114,,0.03279460685,,,46.9,,,22183.7,52.2466,0.007986740994,0.008051042586,100,0,102,,,0,,,0,,,0,,0,155.0524,0,0,,,,,,,,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,,,,,P-3-3,,,GUS22PAP,PAP,Scat,6
,Guimarães 2022,Vepor Mountains,225,Red deer,Cervus elaphus,Cervus elaphus,Winter 2015-2017,498,0.08202931972,1.529,,0.05499802165,,,240,,,119520,366.96,0.06412113989,0.06851435866,64,34,69,,,48.6,,,0.9714285714,,,0.736,,80.206,114.7598,0.6989032745,2.32119188,,,,,,,,,Wild,,,,,,,,,,,,P-3-3,,,GUS22VPM,VPM,Scat,6
,Guimarães 2022,Vepor Mountains,225,Roe deer,Capreolus capreolus,Capreolus capreolus,Winter 2015-2017,371,0.05985801872,1.139,,0.04096974929,,,22.4,,,8310.4,25.5136,0.004458145614,0.004478109679,64,9,69,,,12.9,,,0.15,,,0.03,,5.5638,114.7598,0.04848213399,0.05095241584,,,,,,,,,Wild,,,small and agile. Less negatively affected by snow than wild boar.,,,,,,,,,P-3-3,,,GUS22VPM,VPM,Scat,6
,Guimarães 2022,Vepor Mountains,225,Wild boar,Sus scrofa,Sus scrofa,Winter 2015-2017,145,0.02257160648,0.439,,0.01579079889,,,84.5,,,12252.5,37.0955,0.00648192104,0.006524210457,64,26,69,,,37.1,,,0.6046511628,,,0.233,,28.99,114.7598,0.2526145915,0.3379977568,,,,,,,,,Wild,,,assumed to be more negatively affected by snow depth that roe deer due to smaller body size and greater hindrance of mobility,,,,,,,,,P-3-3,,,GUS22VPM,VPM,Scat,6
,Guimarães 2022,Vepor Mountains,225,Cattle,Bos taurus,Bos taurus,Winter 2015-2017,1724,0.3558307534,7.664,,0.2756735369,,,613,,,1056812,4698.032,0.8209155414,4.583957468,64,0,69,,,0,,,0,,,0,,0,114.7598,0,0,,,,,,,,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,,,,,P-3-3,,,GUS22VPM,VPM,Scat,6
