Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Period,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Scat_n_Tot,Scat_n_Prey,Abs_FO,Rel_FO,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Livestock_Wild,Defense,Prey_Notes,Avg_Wolf_Density,Pack_Name,n_Packs,Timepoint,A_C_Code,Avail_Code,Avail_Season,n_Avail_Points,Cons_Code,Cons_Season,n_Cons_Points,Study_Code,Area_Code,n_Prey_Species,Wild_Ung_Avail_n,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n,Pop_Scale
,Lazzeri 2024,Maremma Regional Park,90,Wild boar,Sus scrofa,Sus scrofa,April 2021-March 2022,995,,,11.0553,,,84.5,,,484,,70.4327,50.7212,57.9327,,,Wild,Tusk,"Form groups. large body mass, more rewarding. Culled and captured for population control - exact level detailed in study area. From Ferretti 2019: Can form large social groups (which contain a larger proportion of young/juveniles in the summer). Noisy, easily detectable.  Males have large body size and longer tusks and ""active defence of piglets by mothers"" might make them more costly or dangerous than fallow deer. ",NR,NR,3,,A,PC,SSU,1,T,SYR,1,LAI24MAR,MAR,3,3,1,0,1,POP
,Lazzeri 2024,Maremma Regional Park,90,Fallow deer,Dama dama,Dama dama,April 2021-March 2022,704,,,7.82245,,,56.2,,,484,,22.1154,15.8654,15.625,,,Wild,Antler,"Form groups. large body mass, more rewarding. tend to select more open habitat. females lack effective defensive antlers. increased diurnal activity throughout years since wolf settlement (wolves here are mostly nocturnal), temporal avoidance - possible anti-predator response. culled every year for population control purposes - exact numbers described in study area. From Ferretti 2019: Can reach local densities of 40-50 ind/km^2 in ecotones (abandoned olive groves which have been partly recolonized, pastures with some scrubs, meadows, and grasslands. Groups of up to tens of individuals. ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". ",NR,NR,3,,A,PC,SSU,1,T,SYR,1,LAI24MAR,MAR,3,3,1,0,1,POP
,Lazzeri 2024,Maremma Regional Park,90,Roe deer,Capreolus capreolus,Capreolus capreolus,April 2021-March 2022,276,,,3.06533,,,22.4,,,484,,6.73077,4.80769,4.32692,,,Wild,None,"small mixed-sex groups in autumn/winter, ie more detectable than in spring/summer when they are more solitary due to male territoriality and mother-fawn associationas. tend to occupy more concealed habitats and avoid areas of high fallow deer densities. peak activity at dusk and dawn (wolf was primarily nocturnal in this study area, thus low temporal overlap). From Ferretti 2019: Gregarious mostly in winter (group size increases with habitat openess, but usually less than 10 individuals). ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" Greatest roe deer densities seen in scrubwood/ecotones (dense scrubby vegetation on steep rocky ground which was avoided by fallow deer). ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". ",NR,NR,3,,A,PC,SSU,1,T,SYR,1,LAI24MAR,MAR,3,3,1,0,1,POP
,Lazzeri 2024,Maremma Regional Park,90,Wild boar,Sus scrofa,Sus scrofa,April 2022-March 2023,941,,,10.4523,,,84.5,,,453,,73.494,57.3494,63.6145,,,Wild,Tusk,"Form groups. large body mass, more rewarding. Culled and captured for population control - exact level detailed in study area. From Ferretti 2019: Can form large social groups (which contain a larger proportion of young/juveniles in the summer). Noisy, easily detectable.  Males have large body size and longer tusks and ""active defence of piglets by mothers"" might make them more costly or dangerous than fallow deer. ",NR,NR,3,,A,PC,SSU,1,T,SYR,1,LAI24MAR,MAR,3,3,1,0,1,POP
,Lazzeri 2024,Maremma Regional Park,90,Fallow deer,Dama dama,Dama dama,April 2022-March 2023,614,,,6.81742,,,56.2,,,453,,18.5542,14.4578,13.494,,,Wild,Antler,"Form groups. large body mass, more rewarding. tend to select more open habitat. females lack effective defensive antlers. increased diurnal activity throughout years since wolf settlement (wolves here are mostly nocturnal), temporal avoidance - possible anti-predator response. culled every year for population control purposes - exact numbers described in study area. From Ferretti 2019: Can reach local densities of 40-50 ind/km^2 in ecotones (abandoned olive groves which have been partly recolonized, pastures with some scrubs, meadows, and grasslands. Groups of up to tens of individuals. ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". ",NR,NR,3,,A,PC,SSU,1,T,SYR,1,LAI24MAR,MAR,3,3,1,0,1,POP
,Lazzeri 2024,Maremma Regional Park,90,Roe deer,Capreolus capreolus,Capreolus capreolus,April 2022-March 2023,265,,,2.9397,,,22.4,,,453,,9.39759,7.22892,6.74699,,,Wild,None,"small mixed-sex groups in autumn/winter, ie more detectable than in spring/summer when they are more solitary due to male territoriality and mother-fawn associationas. tend to occupy more concealed habitats and avoid areas of high fallow deer densities. peak activity at dusk and dawn (wolf was primarily nocturnal in this study area, thus low temporal overlap). From Ferretti 2019: Gregarious mostly in winter (group size increases with habitat openess, but usually less than 10 individuals). ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" Greatest roe deer densities seen in scrubwood/ecotones (dense scrubby vegetation on steep rocky ground which was avoided by fallow deer). ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". ",NR,NR,3,,A,PC,SSU,1,T,SYR,1,LAI24MAR,MAR,3,3,1,0,1,POP
Density 95% CI reported by original density source (Valente et al 2014) = 0.68-2.21,Figueiredo 2020,Montesinho Natural Park,350,Roe deer,Capreolus capreolus,Capreolus capreolus,Nov 2017-Aug 2018 and June-Aug 2019 ,430.5,,,1.23,24,Estimated based on literature,22.4,29.52,,85,37,44,39,,,0.233,Wild,None,,,,,1,E-5-2,PC,SYR,1,T,?,2,FIO20MNP,MNP,6,3,1,0,1,POP
Density 95% CI reported by original density source (Torres et al 2015) = 3.65-9.25,Figueiredo 2020,Montesinho Natural Park,350,Red deer,Cervus elaphus,Cervus elaphus,Nov 2017-Aug 2018 and June-Aug 2019 ,2033.5,,,5.81,100,Estimated based on literature,240,581,,85,23,27,24,,,0.273,Wild,Antler,,,,,1,E-5-2,PC,MWI,2,T,?,2,FIO20MNP,MNP,6,3,1,0,1,POP
,Figueiredo 2020,Montesinho Natural Park,350,Cattle,Bos taurus,Bos taurus,Nov 2017-Aug 2018 and June-Aug 2019 ,189,,,0.54,,,613,,,85,0,0,0,,,0,Livestock,Guard,Sheperds and guard dogs accompany cattle and small ruminants during the day. Semi-confined farming systems dominant in area.,,,,1,E-8-2,E,U,1,T,?,2,FIO20MNP,MNP,6,3,1,0,1,POP
PanTheria has no distiction between wild or domestic pigs.,Figueiredo 2020,Montesinho Natural Park,350,Domestic pig,Sus scrofa domesticus,Sus scrofa scrofa,Nov 2017-Aug 2018 and June-Aug 2019 ,3.5,,,0.01,,,84.5,,,85,0,0,0,,,0,Livestock,Guard,,,,,1,E-8-2,E,U,1,T,?,2,FIO20MNP,MNP,6,3,1,0,1,POP
,Figueiredo 2020,Montesinho Natural Park,350,Sheep,Ovis aries,Ovis aries,Nov 2017-Aug 2018 and June-Aug 2019 ,3223.5,,,9.21,,,34.2,,,85,0,0,0,,,0,Livestock,Guard,Sheperds and guard dogs accompany cattle and small ruminants during the day. Semi-confined farming systems dominant in area.,,,,1,E-8-2,E,U,1,T,?,2,FIO20MNP,MNP,6,3,1,0,1,POP
,Figueiredo 2020,Montesinho Natural Park,350,Domestic goat,Capra hircus,Capra hircus,Nov 2017-Aug 2018 and June-Aug 2019 ,325.5,,,0.93,28.5,Estimated based on literature,46.9,26.505,,85,4,5,4,,,0.02599,Livestock,Partguard,Sheperds and guard dogs accompany cattle and small ruminants during the day. Semi-confined farming systems dominant in area. negative selection likely due to increased livestock protection measures.,,,,1,E-8-2,E,U,1,T,?,2,FIO20MNP,MNP,6,3,1,0,1,POP
"Density recorded here for winter is pellets per transect and their standard error. Only 0.02 deer/km^2 overwinter in this region, the rest migrate to a deer yard 15km away",Forbes 1996,Algonquin Park A,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,Winters 1987-1992,,,,0.1,75,Average of both adult sexes combined,75,,,208,,,9.1,,,0.043,Wild,Antler,,,,,,P-5-5,PC,MSP,5,HOME + T,MWI,5,FOS96AGP-A,AGP-A,2,2,UK,UK,UK,POP
71% of the 41 carcasses were scavenged animals that died of winter tick infestation. 0.5 moose/km^2 ,Forbes 1996,Algonquin Park A,,Moose,Alces alces,Alces alces,Winters 1987-1992,,,,9.3,444.25,Average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,208,,,49.2,,,0.873,Wild,Antler,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,,,P-5-5,PC + AC,MSP + MWI,5,HOME + T,MWI,5,FOS96AGP-A,AGP-A,2,2,UK,UK,UK,POP
,Forbes 1996,Algonquin Park B,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,Winters 1987-1992,,,,0.9,75,Average of both adult sexes combined,75,,,461,,,32.5,,,0.225,Wild,Antler,,,,,,P-5-5,PC,MSP,5,HOME + T,MWI,5,FOS96AGP-B,AGP-B,2,2,UK,UK,UK,POP
0.45 moose/km^2,Forbes 1996,Algonquin Park B,,Moose,Alces alces,Alces alces,Winters 1987-1992,,,,7.2,444.25,Average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,461,,,26.6,,,0.646,Wild,Antler,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,,,P-5-5,PC + AC,MSP + MWI,5,HOME + T,MWI,5,FOS96AGP-B,AGP-B,2,2,UK,UK,UK,POP
"""Deer (Odocoileus virginianus) were believed to be absent in the region until the mid-1880s, peaked to chronic overpopulation in the 1950s and early 1960s, and became locally extirpated by the mid 1970s""",Forbes 1996,Algonquin Park C,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,Winters 1987-1992,,,,1.4,75,Average of both adult sexes combined,75,,,767,,,27.1,,,0.135,Wild,Antler,,,,,,P-5-5,PC,MSP,5,HOME + T,MWI,5,FOS96AGP-C,AGP-C,2,2,UK,UK,UK,POP
0.45 moose/km^2,Forbes 1996,Algonquin Park C,,Moose,Alces alces,Alces alces,Winters 1987-1992,,,,8.1,444.25,Average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,767,,,40.1,,,0.717,Wild,Antler,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,,,P-5-5,PC + AC,MSP + MWI,5,HOME + T,MWI,5,FOS96AGP-C,AGP-C,2,2,UK,UK,UK,POP
Density recorded here for summer is tracks per transect,Forbes 1996,Algonquin Park A,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,Summers 1987-1992,,,,1,"75 (adult), 19 (fawn)",Fawn is based off of weight of calves in July (external source). Adult weight is the average of both adult sexes combined,75,,,371,,,8.6,,,0.047,Wild,Antler,,,,,,P-5-5,TC,MSU,5,HOME + T,MSU,5,FOS96AGP-A,AGP-A,2,2,UK,UK,UK,POP
,Forbes 1996,Algonquin Park A,,Moose,Alces alces,Alces alces,Summers 1987-1992,,,,19.9,"444.25 (adult), 40 (calf)",Calf is based off of weight of calves in July (external source). Adult weight is the average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,371,,,48.7,,,0.821,Wild,Antler,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,,,P-5-5,TC,MSU,5,HOME + T,MSU,5,FOS96AGP-A,AGP-A,2,2,UK,UK,UK,POP
,Forbes 1996,Algonquin Park B,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,Summers 1987-1992,,,,10.6,"75 (adult), 19 (fawn)",Fawn is based off of weight of calves in July (external source). Adult weight is the average of both adult sexes combined,75,,,186,,,38.9,,,0.273,Wild,Antler,,,,,,P-5-5,TC,MSU,5,HOME + T,MSU,5,FOS96AGP-B,AGP-B,2,2,UK,UK,UK,POP
,Forbes 1996,Algonquin Park B,,Moose,Alces alces,Alces alces,Summers 1987-1992,,,,14.2,"444.25 (adult), 40 (calf)",Calf is based off of weight of calves in July (external source). Adult weight is the average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,186,,,24.7,,,0.576,Wild,Antler,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,,,P-5-5,TC,MSU,5,HOME + T,MSU,5,FOS96AGP-B,AGP-B,2,2,UK,UK,UK,POP
,Forbes 1996,Algonquin Park C,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,Summers 1987-1992,,,,12.1,"75 (adult), 19 (fawn)",Fawn is based off of weight of calves in July (external source). Adult weight is the average of both adult sexes combined,75,,,823,,,36.4,,,0.248,Wild,Antler,,,,,,P-5-5,TC,MSU,5,HOME + T,MSU,5,FOS96AGP-C,AGP-C,2,2,UK,UK,UK,POP
,Forbes 1996,Algonquin Park C,,Moose,Alces alces,Alces alces,Summers 1987-1992,,,,17.4,"444.25 (adult), 40 (calf)",Calf is based off of weight of calves in July (external source). Adult weight is the average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,823,,,32.4,,,0.64,Wild,Antler,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,,,P-5-5,TC,MSU,5,HOME + T,MSU,5,FOS96AGP-C,AGP-C,2,2,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,2000/01 S,1710,,,3.27,110.4,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",240,361.008,0.526408805,NR,,,,,,0.396,Wild,Antler,,0.01338432122,,,,D,MTRX,SSU,1,U,SSU,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,2000/01 S,3206,,,6.13,25,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",22.4,153.25,0.2234636057,NR,,,,,,0.144,Wild,None,,0.01338432122,,,,D,MTRX,SSU,1,U,SSU,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2000/01 S,2971,,,5.68,30.2,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",32.8,171.536,0.2501275893,NR,,,,,,0.185,Wild,Refuge,"frequently use ""wide-rocky and high altitude area"" and are well adapted to snowy conditions making them hard to catch for wolves",0.01338432122,,,,D,CNT,SSU,1,U,SSU,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,2000/01 W,1140,,,2.18,110.4,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",240,240.672,0.5882646252,NR,,,,,,0.645,Wild,Antler,,0.017208413,,,,D,CNT,SWI,1,U,SWI,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,2000/01 W,1313,,,2.51,25,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",22.4,62.75,0.1533772322,NR,,,,,,0.23,Wild,None,,0.017208413,,,,D,CNT,SWI,1,U,SWI,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
Unclear wether chamois were counted in both summer and winter or juveniles were just subtracted from summer to get winter densities,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2000/01 W,1831,,,3.5,30.2,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",32.8,105.7,0.2583581426,NR,,,,,,0.109,Wild,Refuge,"frequently use ""wide-rocky and high altitude area"" and are well adapted to snowy conditions making them hard to catch for wolves",0.017208413,,,,D,MTRX?,SWI,1,U,SWI,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,2001/02 S,1485,,,2.84,110.4,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",240,313.536,0.5466089728,NR,,,,,,0.22,Wild,Antler,,0.02868068834,,,,D,MTRX,SSU,1,U,SSU,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,2001/02 S,2547,,,4.87,25,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",22.4,121.75,0.2122551874,NR,,,,,,0.174,Wild,None,,0.02868068834,,,,D,MTRX,SSU,1,U,SSU,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2001/02 S,2395,,,4.58,30.2,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",32.8,138.316,0.2411358398,NR,,,,,,0.04,Wild,Refuge,"frequently use ""wide-rocky and high altitude area"" and are well adapted to snowy conditions making them hard to catch for wolves",0.02868068834,,,,D,CNT,SSU,1,U,SSU,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,2001/02 W,1140,,,2.18,110.4,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",240,240.672,0.5922309551,NR,,,,,,0.715,Wild,Antler,,0.02868068834,,,,D,CNT,SWI,1,U,SWI,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,2001/02 W,1224,,,2.34,25,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",22.4,58.5,0.1439532263,NR,,,,,,0.187,Wild,None,,0.02868068834,,,,D,CNT,SWI,1,U,SWI,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2001/02 W,1857,,,3.55,30.2,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",32.8,107.21,0.2638158186,NR,,,,,,0.04,Wild,Refuge,"frequently use ""wide-rocky and high altitude area"" and are well adapted to snowy conditions making them hard to catch for wolves",0.02868068834,,,,D,MTRX?,SWI,1,U,SWI,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,2002/03 S,1548,,,2.96,110.4,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",240,326.784,0.5685612677,NR,,,,,,0.361,Wild,Antler,,0.01912045889,,,,D,MTRX,SSU,1,U,SSU,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,2002/03 S,2275,,,4.35,25,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",22.4,108.75,0.1892107259,NR,,,,,,0.274,Wild,None,,0.01912045889,,,,D,MTRX,SSU,1,U,SSU,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2002/03 S,2411,,,4.61,30.2,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",32.8,139.222,0.2422280063,NR,,,,,,0.097,Wild,Refuge,"frequently use ""wide-rocky and high altitude area"" and are well adapted to snowy conditions making them hard to catch for wolves",0.01912045889,,,,D,CNT,SSU,1,U,SSU,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,2002/03 W,1166,,,2.23,110.4,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",240,246.192,0.6046358559,NR,,,,,,0.412,Wild,Antler,,0.02103250478,,,,D,CNT,SWI,1,U,SWI,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,2002/03 W,1213,,,2.32,25,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",22.4,58,0.1424452445,NR,,,,,,0.511,Wild,None,,0.02103250478,,,,D,CNT,SWI,1,U,SWI,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2002/03 W,1783,,,3.41,30.2,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",32.8,102.982,0.2529188995,NR,,,,,,0.064,Wild,Refuge,"frequently use ""wide-rocky and high altitude area"" and are well adapted to snowy conditions making them hard to catch for wolves",0.02103250478,,,,D,MTRX?,SWI,1,U,SWI,1,GAA07AVS,AVS,3,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,2000-2003,1365,,,2.61,110.4,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",240,,,716,,,,,,0.553,Wild,Antler,,,,,,P-6-6,MIX,MYR,6,U,MYR,6,GAA07AVS,AVS,5,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,2000-2003,1963,,,3.753,25,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",22.4,,,716,,,,,,0.226,Wild,None,,,,,,P-6-6,MIX,MYR,6,U,MYR,6,GAA07AVS,AVS,5,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2000-2003,2208,,,4.222,30.2,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",32.8,,,716,,,,,,0.086,Wild,Refuge,"frequently use ""wide-rocky and high altitude area"" and are well adapted to snowy conditions making them hard to catch for wolves",,,,,P-6-6,MIX,MYR,6,U,MYR,6,GAA07AVS,AVS,5,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Mouflon,Ovis orientalis musimon,Ovis aries musimon,2000-2003,50,,,0.09560229446,29.5,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",34.2,,,716,,,,,,0.002,Wild,Refuge,,,,,,P-1-6,MIX,MYR,1,U,MYR,6,GAA07AVS,AVS,5,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Alpine ibex,Capra ibex,Capra ibex,2000-2003,75,,,0.1434034417,NR,NR,69.3,,,716,,,,,,0,Wild,Refuge,,,,,,P-1-6,MIX,MYR,1,U,MYR,6,GAA07AVS,AVS,5,6,UK,UK,UK,POP
,Guimarães 2022,Pol’ana PLA,425,Red deer,Cervus elaphus,Cervus elaphus,Winter 2015-2017,1342,,,1.876,,,240,,,100,44,44,41.9,,,0.721,Wild,Antler,,,,,,P-3-3,CNT,MSP,3,TRAN,MWI,3,GUS22PAP,PAP,6,3,2,1,1,POP
,Guimarães 2022,Pol’ana PLA,425,Roe deer,Capreolus capreolus,Capreolus capreolus,Winter 2015-2017,1140,,,1.591,,,22.4,,,100,27,27,25.7,,,0.069,Wild,None,small and agile. Less negatively affected by snow than wild boar.,,,,,P-3-3,CNT,MSP,3,TRAN,MWI,3,GUS22PAP,PAP,6,3,2,1,1,POP
,Guimarães 2022,Pol’ana PLA,425,Wild boar,Sus scrofa,Sus scrofa,Winter 2015-2017,449,,,0.632,,,84.5,,,100,31,31,29.5,,,0.21,Wild,Tusk,assumed to be more negatively affected by snow depth that roe deer due to smaller body size and greater hindrance of mobility,,,,,P-3-3,CNT,MSP,3,TRAN,MWI,3,GUS22PAP,PAP,6,3,2,1,1,POP
,Guimarães 2022,Pol’ana PLA,425,Cattle,Bos taurus,Bos taurus,Winter 2015-2017,3647,,,8.581,,,613,,,100,0,0,0,,,0,Livestock,Guard,"grazed extensively on mountains while watched by sheperds and guard dogs from Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,P-3-3,GSO,MYR,3,TRAN,MWI,3,GUS22PAP,PAP,6,3,2,1,1,POP
,Guimarães 2022,Pol’ana PLA,425,Sheep,Ovis aries,Ovis aries,Winter 2015-2017,8574,,,20.175,,,34.2,,,100,0,0,0,,,0,Livestock,Guard,"grazed extensively on mountains while watched by sheperds and guard dogs from Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,P-3-3,GSO,MYR,3,TRAN,MWI,3,GUS22PAP,PAP,6,3,2,1,1,POP
,Guimarães 2022,Pol’ana PLA,425,Goat,Capra hircus,Capra hircus,Winter 2015-2017,473,,,1.114,,,46.9,,,100,0,0,0,,,0,Livestock,Guard,"grazed extensively on mountains while watched by sheperds and guard dogs from Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,P-3-3,GSO,MYR,3,TRAN,MWI,3,GUS22PAP,PAP,6,3,2,1,1,POP
,Guimarães 2022,Vepor Mountains,225,Red deer,Cervus elaphus,Cervus elaphus,Winter 2015-2017,498,,,1.529,,,240,,,64,34,53.125,48.6,,,0.736,Wild,Antler,,,,,,P-3-3,CNT,MSP,3,TRAN,MWI,3,GUS22VPM,VPM,6,3,2,1,1,POP
,Guimarães 2022,Vepor Mountains,225,Roe deer,Capreolus capreolus,Capreolus capreolus,Winter 2015-2017,371,,,1.139,,,22.4,,,64,9,14.0625,12.9,,,0.03,Wild,None,small and agile. Less negatively affected by snow than wild boar.,,,,,P-3-3,CNT,MSP,3,TRAN,MWI,3,GUS22VPM,VPM,6,3,2,1,1,POP
,Guimarães 2022,Vepor Mountains,225,Wild boar,Sus scrofa,Sus scrofa,Winter 2015-2017,145,,,0.439,,,84.5,,,64,26,40.625,37.1,,,0.233,Wild,Tusk,assumed to be more negatively affected by snow depth that roe deer due to smaller body size and greater hindrance of mobility,,,,,P-3-3,CNT,MSP,3,TRAN,MWI,3,GUS22VPM,VPM,6,3,2,1,1,POP
