Paper_ID,Study_Area,Area ,Prey_Identity ,Prey_Taxa,Prey_Taxa_Valid,Years,Num_Ind,Density,Density_Err,Avg_Mass_kg,Mass_Cat_A,BM_Avail,Prop_BM_Avail,Prop_Items_Avail,Scat_n,Num_Consumed,km2_Num_Consumed,Mean_perc_volume,Prop_Items_Consumed,Meth_BM_Consumed,BM_Consumed,Prop_BM_Consumed ,Absolute_FO,Err_Absolute_FO,Corrected_Abs_FO,Relative_FO,Livestock_Wild,Fight_Flight_Guarded,Notes,BM_Use,Jacobs_BM,Ivlevs_BM,Chesson_BM
Werhahn 2019,KCA,368,Horse/mule,Equus ferus caballus,Equus caballus,2016,77.28,0.21,0.08,355,Large,74.55,0.0323,0.01548672566,13,,,,0.001,,,0.067,,,,15.4,Livestock,Unguarded,Small herds ,2.074303406,0.3653716156,0.3494461229,0.3279180071
Werhahn 2019,KCA,368,Goat,Capra hircus,Capra hircus,2016,658.72,1.79,0.29,27.5,Medium,49.23,0.0213,0.1320058997,13,,,,0,,,0,,,,0,Livestock,Guarded,Larger herds,0,-1,-1,0
Werhahn 2019,KCA,368,Naur,Pseudois nayaur,Pseudois nayaur,2016,1126.08,3.06,0.27,55,Medium,168.3,0.0728,0.2256637168,13,,,,0.017,,,0.257,,,,76.9,Wild,,Mass range = 35-75kg. Cliff-dwelling .,3.53021978,0.6300003283,0.5585203153,0.5580777777
Werhahn 2019,Namsai,175,Yak/Cow,Bos grunniens / Bos grunniens-Bos taurus,Bos grunniens,2017,3640,20.8,1.95,237.5,Large,4940,0.7909,0.502658289,9,,,,0.006,,,0.29,,,,,Livestock,Semi-guarded,Small-large herds,0.3666708813,-0.805075075,-0.4634101212,0.9246352782
Werhahn 2019,Namsai,175,Naur,Pseudois nayaur,Pseudois nayaur,2017,3325,19,1.42,55,Medium,1045,0.1673,0.459159014,9,,,,0.0004,,,0.005,,,,,Wild,,Mass range = 35-75kg. Cliff-dwelling .,0.02988643156,-0.9511976416,-0.9419616947,0.0753647218
Werhahn 2019,Namsai,175,White-lipped deer,Cervus albirostris,Przewalskium albirostre,2017,276.5,1.58,0.4,165,Large,260.7,0.0417,0.03818269696,9,,,,0,,,0,,,,,Wild,,,0,-1,-1,0
Werhahn 2019,Namsai,175,Tibetan Gazelle,Procapra picticaudata,Procapra picticaudata,2017,0,0,,14.1,Small,0,0,0,9,,,,0.076,,,0.23,,,,,Wild,,Mass range= 13.2-15kg. Plains-dwelling,0,1,1,0
Werhahn 2019,Zhaqing,452,Yak/Cow,Bos grunniens / Bos grunniens-Bos taurus,Bos grunniens,2017,9401.6,20.8,1.95,237.5,Large,4940,0.9481,0.8393866021,8,,,,0.227,,,0.929,,,,,Livestock,Semi-guarded,Small-large herds,0.9798544457,-0.1653247376,-0.01017527036,0.1257936659
Werhahn 2019,Zhaqing,452,White-lipped deer,Cervus albirostris,Przewalskium albirostre,2017,343.52,0.76,0.16,165.2236842,Large,125.57,0.0241,0.03066989508,8,,,,0,,,0,,,,,Wild,,,0,-1,-1,0
Werhahn 2019,Zhaqing,452,Tibetan gazelle,Procapra picticaudata,Procapra picticaudata,2017,357.08,0.79,0.27,14.06329114,Small,11.11,0.0021,0.03188054883,8,,,,0.059,,,0.0143,,,,,Wild,,Mass range= 13.2-15kg. Plains-dwelling,6.80952381,0.7466367686,0.743902439,0.8742063341
Werhahn 2019,Zhaqing,452,Naur,Pseudois nayaur,Pseudois nayaur,2017,1098.36,2.43,0.27,55,Medium,133.65,0.0257,0.098062954,8,,,,0,,,0,,,,,Wild,,Mass range = 35-75kg. Cliff-dwelling .,0,-1,-1,0
Figueiredo 2020,Montesinho Natural Park,350,Roe deer,Capreolus capreolus,Capreolus capreolus,2017-2019,430.5,1.23,,24,Small,29.52,,0.06937394247,85,,,,,y=0.439+0.008x,27.764,0.233,44,,,39,Wild,,biomass calculated using floyd modified weaver and multiplying by number of scats containing that item,,,,
Figueiredo 2020,Montesinho Natural Park,350,Red deer,Cervus elaphus,Cervus elaphus,2017-2019,2033.5,5.81,,100,Medium,581,,0.3276931754,85,,,,,y=0.439+0.008x,33.453,0.273,27,,,24,Wild,,biomass calculated using floyd modified weaver and multiplying by number of scats containing that item,,,,
Figueiredo 2020,Montesinho Natural Park,350,Cattle,Bos taurus,Bos taurus,2017-2019,189,0.54,,,,,,0.03045685279,85,,,,,y=0.439+0.008x,,0,0,,,0,Livestock,guarded,biomass calculated using floyd modified weaver and multiplying by number of scats containing that item. ,,,,
Figueiredo 2020,Montesinho Natural Park,350,Domestic pig,Sus scrofa domesticus,Sus scrofa scrofa,2017-2019,3.5,0.01,,,,,,0.0005640157924,85,,,,,y=0.439+0.008x,,0,0,,,0,Livestock,,biomass calculated using floyd modified weaver and multiplying by number of scats containing that item,,,,
Figueiredo 2020,Montesinho Natural Park,350,Sheep,Ovis aries,Ovis aries,2017-2019,3223.5,9.21,,,,,,0.5194585448,85,,,,,y=0.439+0.008x,,0,0,,,0,Livestock,guarded,biomass calculated using floyd modified weaver and multiplying by number of scats containing that item,,,,
Figueiredo 2020,Montesinho Natural Park,350,Domestic goat,Capra hircus,Capra hircus,2017-2019,325.5,0.93,,28.5,Medium,26.505,,0.0524534687,85,,,,,y=0.439+0.008x,,,5,,,4,Livestock,semi-guarded,biomass calculated using floyd modified weaver and multiplying by number of scats containing that item. negative selection likely due to increased livestock protection measures.,,,,
Hosseini-Zavarei 2013,Ghamishlou,1130,Persian gazelle,Gazella subgutturosa,Gazella subgutturosa,2007-2009,2400,2.123893805,,27.5,Medium,58.40707965,0.1088749588,0.1340782123,132,33,,,,y=0.38+0.02x,,0.27,31,,25,,Wild,,,2.479909091,0.5033860045,0.4252723425,0.1253720248
Hosseini-Zavarei 2013,Ghamishlou,1130,Esfahan wild sheep,Ovis orientalis,Ovis orientalis musimon,2007-2009,2400,2.123893805,,34,Medium,72.21238938,0.1346090399,0.1340782123,132,17,,,,y=0.38+0.02x,,0.159,17,,13,,Wild,,,1.181198529,0.09725132698,0.0830729193,0.05971559679
Hosseini-Zavarei 2013,Ghamishlou,1130,Persian wild goat,Capra aegagrus,Capra hircus aegagrus,2007-2009,100,0.08849557522,,36.0,Medium,3.185840708,0.005938634114,0.005586592179,132,9.5,,,,y=0.38+0.02x,,0.092,1,,7,,Wild,,,15.49177778,0.8886420931,0.8787274467,0.7831882045
Hosseini-Zavarei 2013,Ghamishlou,1130,Domestic sheep and goat,Ovis aries and Capra hircus,,2007-2009,13000,11.50442478,,35,Medium,402.6548673,0.7505773672,0.7262569832,132,49.5,,,,y=0.38+0.02x,,0.471,45,,38,,Livestock,Guarded,"13000 in 30 herds. Allowed to graze in pastures in the Wildlife Refuge for a 100-day period in winter (January–March), but are not allowed to enter the National Park. Guarded by herd dogs.",0.6275169231,-0.5433608776,-0.2288658702,0.0317241739
Capitani 2004,Pratomagno,110,Wild boar,Sus scrofa,Sus scrofa,1999-2001,561,5.1,,,,,,,355,,,80.8,,,,,87.3,,,,Wild,,Possible positive selection for juveniles,,,,
Capitani 2004,Pratomagno,110,Cervids,See notes,,1999-2001,2497,23.1,,,,,,,355,,,14.1,,,,,20.6,,,,Wild,,"Cervids = Roe deer (Capreolus capreolus), red deer (Cervus elaphus), and fallow deer (Dama dama). Fallow deer limited to 1/3 of the area. Possible positive selection for fawns in summer",,,,
Capitani 2004,Pratomagno,110,Bovids,See notes,,1999-2001,3,0.02727272727,,,,,,,355,,,0.2,,,,,0.3,,,,Wild,,"Bovids = mouflon (Ovis ammon musimon) and chamois (Rupicapra rupicapra). Mouflon absent except for ""an isolated hear of a few individuals"".",,,,
Capitani 2004,Cecina Valley,25,Wild boar,Sus scrofa,Sus scrofa,2000-2001,375,15,,,,,,,118,,,15.9,,,,,20.3,,,,Wild,,Possible positive selection for juveniles,,,,
Capitani 2004,Cecina Valley,25,Cervids,See notes,,2000-2001,550,22,,,,,,,118,,,40.5,,,,,45.8,,,,Wild,,"Cervids = Roe deer (Capreolus capreolus), red deer (Cervus elaphus), and fallow deer (Dama dama)",,,,
Capitani 2004,Cecina Valley,25,Bovids,See notes,,2000-2001,100,4,,,,,,,118,,,33,,,,,34.7,,,,Wild,,Bovids = mouflon (Ovis ammon musimon) and chamois (Rupicapra rupicapra),,,,
Tiralla 2021,Khentii Mountain range ,450,Wild boar,Sus scrofa,Sus scrofa,2008-2012,342,0.76,,,,,,,137,,,,,y=0.439+0.008x,,0.178,22.6,,,,Wild,"Fight (""defensive behaviour"")",,,,,
Tiralla 2021,Khentii Mountain range ,450,Siberian roe deer,Capreolus pygargus,Capreolus pygargus,2008-2012,256.5,0.57,,,,,,,137,,,,,y=0.439+0.008x,,0.462,43.8,,,,Wild,Less defensive and most vulnerable prey species. Solitary.,,,,,
Tiralla 2021,Khentii Mountain range ,450,Red deer,Cervus elaphus,Cervus elaphus,2008-2012,126,0.28,,,,,,,137,,,,,y=0.439+0.008x,,0.147,18.2,,,,Wild,,,,,,
Tiralla 2021,Khentii Mountain range ,450,Siberian musk deer,Moschus moschiferus,Moschus moschiferus,2008-2012,45,0.1,,,,,,,137,,,,,y=0.439+0.008x,,0.024,4.4,,,,Wild,,,,,,
Tiralla 2021,Khentii Mountain range ,450,Moose,Alces alces,Alces alces,2008-2012,22.5,0.05,,,,,,,137,,,,,y=0.439+0.008x,,0.008,7,,,,Wild,,,,,,
Petridou 2019,Central Continental Greece,612,Goat,Capra hircus,Capra hircus,2010-2012,13150,21.4869281,,40,Medium,859.4771242,0.2317435841,,124,,,,,"BMi% = (Yi× AVi%/sum Yij × AVij%) × 100, where AV is average volume in scat, Yi is y=0.439+0.008x, where x is 90% of each species’ mean weight in order to account for non-consumptive parts (skeleton, hooves, etc) ",,0.649,46,,,,Livestock,guarded. graze as scattered loose grouping,# individuals was averaged between summer (12300) and winter (14000) numbers.  goat herd size averaged 114 animals (range 10–800).  The number of livestock guardian dogs per herd averaged 3.8 animals (range 0–15) with a total estimated number of 865 guardian dogs present in the study area.,2.80050903,0.7194815317,0.4737547039,0.7319874559
Petridou 2019,Central Continental Greece,612,Sheep,Ovis aries,Ovis aries,2010-2012,24750,40.44117647,,57,Medium,2305.147059,0.6215442229,,124,,,,,"BMi% = (Yi× AVi%/sum Yij × AVij%) × 100, where AV is average volume in scat, Yi is y=0.439+0.008x, where x is 90% of each species’ mean weight in order to account for non-consumptive parts (skeleton, hooves, etc) ",,0.112,11.5,,,,Livestock,guarded. compact herds when grazing,# individuals was averaged between summer (23500) and winter (26000) numbers.  Sheep herd size averaged 148 animals (range 10–1200).The number of livestock guardian dogs per herd averaged 3.8 animals (range 0–15) with a total estimated number of 865 guardian dogs present in the study area.,0.1801963495,-0.8573591094,-0.6946332709,0.04709910448
Petridou 2019,Central Continental Greece,612,Limousin cattle,Bos taurus,Bos taurus,2010-2012,1850,3.022875817,,180,Large,544.1176471,0.146712193,,124,,,,,"BMi% = (Yi× AVi%/sum Yij × AVij%) × 100, where AV is average volume in scat, Yi is y=0.439+0.008x, where x is 90% of each species’ mean weight in order to account for non-consumptive parts (skeleton, hooves, etc) ",,0.124,4.5,,,,Livestock,unguarded,# individuals was averaged between summer (1750) and winter (1950) numbers. cattle herd size averaged 103 animals (range 5–400). The number of livestock guardian dogs per herd averaged 3.8 animals (range 0–15) with a total estimated number of 865 guardian dogs present in the study area.,0.8451921922,-0.09692497156,-0.08389793132,0.2209134396
Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,2000/01 S,1710.21,3.27,,110.4,Large,361.008,0.526408805,,,,,,,,,0.396,,,,,Wild,,,0.7522670523,-0.2579833882,-0.1413785344,0.3521371711
Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,2000/01 S,3205.99,6.13,,25,Small,153.25,0.2234636057,,,,,,,,,0.144,,,,,Wild,,,0.6444002349,-0.2621643346,-0.2162489141,0.3016445757
Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2000/01 S,2970.64,5.68,,30.2,Medium,171.536,0.2501275893,,,,,,,,,0.185,,,,,Wild,,,0.7396225282,-0.1901089289,-0.1496746953,0.3462182532
Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,2000/01 W,1140.14,2.18,,110.4,Large,240.672,0.5882646252,,,,,,,,,0.645,,,,,Wild,,,1.096445328,0.1195931388,0.04600421809,0.3633126816
Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,2000/01 W,1312.73,2.51,,25,Small,62.75,0.1533772322,,,,,,,,,0.23,,,,,Wild,,,1.499570677,0.2449391349,0.1998625931,0.4968902963
Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2000/01 W,1830.5,3.5,,30.2,Medium,105.7,0.2583581426,,,,,,,,,0.109,,,,,Wild,,,0.4218949669,-0.4801955727,-0.4065736546,0.1397970221
