Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Timepoint,Period,Season,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Scat_n_Tot,Scat_n_Prey,Abs_FO,Rel_FO,Mean_Perc_Vol,n_Kills_Tot,n_Kills_Prey,Prop_Kills,Ratio_Kills,km2_Num_Consumed,Raw_BM_Consumed_kg,Perc_BM_Edible,Orig_BM_Consumed,Orig_Prop_BM_Consumed,Orig_Rat_BM_Cons,Livestock_Wild,Fight_Flight_Guarded,Prey_Notes,A_C_Code,A_Code,Avail_Season,n_Avail_Season_Points,C_Code,n_C_Points,Study_Code,Area_Code,n_Prey_Species,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n,Pop_Scale
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2,2001-2002,SYR,987,,,8.223,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.3,242,,,,,,,,,,,,,0.482,,Wild,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2,2001-2002,SYR,4898,,,40.819,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.7,242,,,,,,,,,,,,,0.476,,Wild,,,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,3,2002-2003,SYR,1472,,,12.267,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.39,262,,,,,,,,,,,,,0.685,,Wild,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,3,2002-2003,SYR,4828,,,40.233,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.61,262,,,,,,,,,,,,,0.263,,Wild,,,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,4,2003-2004,SYR,3114,,,25.949,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.53,293,,,,,,,,,,,,,0.712,,Wild,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,4,2003-2004,SYR,5724,,,47.7,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.47,293,,,,,,,,,,,,,0.261,,Wild,,,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,5,2004-2005,SYR,563,,,4.69,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.18,232,,,,,,,,,,,,,0.488,,Wild,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,5,2004-2005,SYR,5151,,,42.929,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.82,232,,,,,,,,,,,,,0.482,,Wild,,,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,6,2005-2006,SYR,964,,,8.035,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.32,143,,,,,,,,,,,,,0.461,,Wild,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,6,2005-2006,SYR,4198,,,34.987,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.68,143,,,,,,,,,,,,,0.399,,Wild,,,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,7,2007-2008,SYR,2559,,,21.322,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.54,208,,,,,,,,,,,,,0.765,,Wild,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,7,2007-2008,SYR,4484,,,37.366,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.46,208,,,,,,,,,,,,,0.201,,Wild,,,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,8,2008-2009,SYR,1895,,,15.79,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.5,272,,,,,,,,,,,,,0.696,,Wild,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,8,2008-2009,SYR,3919,,,32.658,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.5,272,,,,,,,,,,,,,0.229,,Wild,,,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
,Dolapchiev 2022,Osogovo Mountain,650,Wild boar,Sus scrofa,Sus scrofa,1,2018 (spring-autumn),SNW,735,,,1.13,,,84.5,,,42,23,55.6,,,,,,,,,,,,,Wild,,found in larger groups than deer and is much easier to detect by sound and smell. large bodied,B,CAM,SNW,1,T,1,DOV22OOM,OOM,2,2,1,1,POP
,Dolapchiev 2022,Osogovo Mountain,650,Roe deer,Capreolus capreolus,Capreolus capreolus,1,2018 (spring-autumn),SNW,5291,,,8.14,,,22.4,,,42,5,11.1,,,,,,,,,,,,,Wild,,found in smaller groups than wild boar,B,CAM,SNW,1,T,1,DOV22OOM,OOM,2,2,1,1,POP
,Dolapchiev 2022,Osogovo Mountain,650,Wild boar,Sus scrofa,Sus scrofa,2,2019 (spring-autumn),SNW,715,,,1.1,,,84.5,,,25,22,88.9,,,,,,,,,,,,,Wild,,found in larger groups than deer and is much easier to detect by sound and smell. large bodied,B,CAM,SNW,1,T,1,DOV22OOM,OOM,2,2,1,1,POP
,Dolapchiev 2022,Osogovo Mountain,650,Roe deer,Capreolus capreolus,Capreolus capreolus,2,2019 (spring-autumn),SNW,4440,,,6.83,,,22.4,,,25,1,3.7,,,,,,,,,,,,,Wild,,found in smaller groups than wild boar,B,CAM,SNW,1,T,1,DOV22OOM,OOM,2,2,1,1,POP
