Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Num_Ind,Ratio_Ind_Avail,Density,Prop_Ind_Avail,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Pan_kg_Avail,Pan_BM_Avail,Pan_Prop_BM_Avail,Pan_Ratio_BM_Avail,Scat_n_Tot,Scat_n_Prey,n_Occ_Anal,Abs_FO,Abs_FO_CI,Rel_FO,Rel_FO_CI,Rel_FO_Anal,Ratio_Occ,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Err_Prop_BM_Consumed,Pan_BM_Consumed,Pan_Tot_BM_Consumed,Pan_Prop_BM_Cons,Pan_Ratio_BM_Cons,BM_Equiv,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,BM_Use,Jacobs_BM,Ivlevs_BM,Chesson_BM,Timepoint,Period,Season,A_C_Code,A_Code,Avail_Season,n_Avail_Season_Points,C_Code,n_C_Points,Study_Code,Area_Code,n_Prey_Species,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n
0.45 moose/km^2,Forbes 1996,Algonquin Park C,,Moose,Alces alces,Alces alces,,5.785714286,8.1,0.1473684211,444.25,Average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,,3896.1,0.9737572168,37.10571429,767,,,,,40.1,,,,,,0.717,,,,,,,Wild,,,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,,,,,Winters 1987-1992,MWI,P-5-5,PC + AC,MSP + MWI,5,T?,5,FOS96AGP-C,AGP-C,2,UK,UK,UK
Density recorded here for summer is tracks per transect,Forbes 1996,Algonquin Park A,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,,0.05025125628,1,0.3875598086,"75 (adult), 19 (fawn)",Fawn is based off of weight of calves in July (external source). Adult weight is the average of both adult sexes combined,75,,,,75,0.007774518239,0.007835434971,371,,,,,8.6,,,,,,0.047,,,,,,,Wild,,,,,,,,,,Summers 1987-1992,MSU,P-5-5,TC,MSU,5,T?,5,FOS96AGP-A,AGP-A,2,UK,UK,UK
,Forbes 1996,Algonquin Park A,,Moose,Alces alces,Alces alces,,19.9,19.9,0.04784688995,"444.25 (adult), 40 (calf)",Calf is based off of weight of calves in July (external source). Adult weight is the average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,,9571.9,0.9922254818,127.6253333,371,,,,,48.7,,,,,,0.821,,,,,,,Wild,,,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,,,,,Summers 1987-1992,MSU,P-5-5,TC,MSU,5,T?,5,FOS96AGP-A,AGP-A,2,UK,UK,UK
,Forbes 1996,Algonquin Park B,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,,0.7464788732,10.6,0.8024193548,"75 (adult), 19 (fawn)",Fawn is based off of weight of calves in July (external source). Adult weight is the average of both adult sexes combined,75,,,,795,0.1042595604,0.1163948347,186,,,,,38.9,,,,,,0.273,,,,,,,Wild,,,,,,,,,,Summers 1987-1992,MSU,P-5-5,TC,MSU,5,T?,5,FOS96AGP-B,AGP-B,2,UK,UK,UK
,Forbes 1996,Algonquin Park B,,Moose,Alces alces,Alces alces,,1.339622642,14.2,0.4274193548,"444.25 (adult), 40 (calf)",Calf is based off of weight of calves in July (external source). Adult weight is the average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,,6830.2,0.8957404396,8.591446541,186,,,,,24.7,,,,,,0.576,,,,,,,Wild,,,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,,,,,Summers 1987-1992,MSU,P-5-5,TC,MSU,5,T?,5,FOS96AGP-B,AGP-B,2,UK,UK,UK
,Forbes 1996,Algonquin Park C,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,,0.6954022989,12.1,0.4813559322,"75 (adult), 19 (fawn)",Fawn is based off of weight of calves in July (external source). Adult weight is the average of both adult sexes combined,75,,,,907.5,0.09782362643,0.1084307119,823,,,,,36.4,,,,,,0.248,,,,,,,Wild,,,,,,,,,,Summers 1987-1992,MSU,P-5-5,TC,MSU,5,T?,5,FOS96AGP-C,AGP-C,2,UK,UK,UK
,Forbes 1996,Algonquin Park C,,Moose,Alces alces,Alces alces,,1.438016529,17.4,0.4101694915,"444.25 (adult), 40 (calf)",Calf is based off of weight of calves in July (external source). Adult weight is the average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,,8369.4,0.9021763736,9.222479339,823,,,,,32.4,,,,,,0.64,,,,,,,Wild,,,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,,,,,Summers 1987-1992,MSU,P-5-5,TC,MSU,5,T?,5,FOS96AGP-C,AGP-C,2,UK,UK,UK
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,1710,0.2768334143,3.27,0.2168435013,110.4,,240,361.008,0.526408805,410400,784.8,0.7080374156,2.425096411,716,,,,,,,,,,,0.396,,,,,,,Wild,,,,,0.7522670523,-0.2579833882,-0.1413785344,0.3521371711,,2000/01 S,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,3206,0.6848963897,6.13,0.4064986737,25,,22.4,153.25,0.2234636057,71814.4,137.312,0.1238812864,0.1413978317,716,,,,,,,,,,,0.144,,,,,,,Wild,,,,,0.6444002349,-0.2621643346,-0.2162489141,0.3016445757,,2000/01 S,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2971,0.6043531326,5.68,0.3766578249,30.2,,32.8,171.536,0.2501275893,97448.8,186.304,0.168081298,0.202040533,716,,,,,,,,,,,0.185,,,,,,,Wild,,,,,0.7396225282,-0.1901089289,-0.1496746953,0.3462182532,,2000/01 S,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,1140,0.3625954198,2.18,0.2661782662,110.4,,240,240.672,0.5882646252,273600,523.2,0.7536472378,3.059219759,716,,,,,,,,,,,0.645,,,,,,,Wild,,,,,1.096445328,0.1195931388,0.04600421809,0.3633126816,,2000/01 W,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,1313,0.4419387412,2.51,0.3064713065,25,,22.4,62.75,0.1533772322,29411.2,56.224,0.08098826892,0.08812539185,716,,,,,,,,,,,0.23,,,,,,,Wild,,,,,1.499570677,0.2449391349,0.1998625931,0.4968902963,,2000/01 W,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,1831,0.7464329393,3.5,0.4273504274,30.2,,32.8,105.7,0.2583581426,60056.8,114.8,0.1653644933,0.1981277959,716,,,,,,,,,,,0.109,,,,,,,Wild,,,,,0.4218949669,-0.4801955727,-0.4065736546,0.1397970221,,2000/01 W,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,1485,0.3004856333,2.84,0.2310821806,110.4,,240,313.536,0.5466089728,356400,681.6,0.7244035574,2.628493861,716,,,,,,,,,,,0.22,,,,,,,Wild,,,,,0.4024815013,-0.6208103718,-0.4260437646,0.2899448863,,2001/02 S,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,2547,0.656443299,4.87,0.3962571196,25,,22.4,121.75,0.2122551874,57052.8,109.088,0.1159385787,0.1311431264,716,,,,,,,,,,,0.174,,,,,,,Wild,,,,,0.8197679507,-0.1224595557,-0.09904122622,0.5905551546,,2001/02 S,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2395,0.5939980159,4.58,0.3726606998,30.2,,32.8,138.316,0.2411358398,78556,150.224,0.1596578639,0.1899915011,716,,,,,,,,,,,0.04,,,,,,,Wild,,,,,0.1658816044,-0.7681485644,-0.7154400519,0.1194999591,,2001/02 S,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,1140,0.3700097371,2.18,0.2701363073,110.4,,240,240.672,0.5922309551,273600,523.2,0.7560081843,3.098498129,716,,,,,,,,,,,0.715,,,,,,,Wild,,,,,1.20729927,0.2666917084,0.09391534404,0.4542214071,,2001/02 W,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,1224,0.4084084084,2.34,0.2899628253,25,,22.4,58.5,0.1439532263,27417.6,52.416,0.07573953553,0.08194609468,716,,,,,,,,,,,0.187,,,,,,,Wild,,,,,1.29903306,0.1553391815,0.130069056,0.4887343502,,2001/02 W,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,1857,0.7855329949,3.55,0.4399008674,30.2,,32.8,107.21,0.2638158186,60909.6,116.44,0.1682522802,0.2022876362,716,,,,,,,,,,,0.04,,,,,,,Wild,,,,,0.1516209309,-0.7916783302,-0.7366825718,0.05704424269,,2001/02 W,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,1548,0.3303457106,2.96,0.2483221477,110.4,,240,326.784,0.5685612677,371520,710.4,0.7407345618,2.857050931,716,,,,,,,,,,,0.361,,,,,,,Wild,,,,,0.6349359699,-0.3998791176,-0.2232894968,0.2556611392,,2002/03 S,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,2275,0.5746400606,4.35,0.3649328859,25,,22.4,108.75,0.1892107259,50960,97.44,0.1016007541,0.113090872,716,,,,,,,,,,,0.274,,,,,,,Wild,,,,,1.448120864,0.2358380842,0.1830468711,0.5830953787,,2002/03 S,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2411,0.6306565524,4.61,0.3867449664,30.2,,32.8,139.222,0.2422280063,79080.8,151.208,0.1576646841,0.1871756784,716,,,,,,,,,,,0.097,,,,,,,Wild,,,,,0.4004491532,-0.4969549237,-0.428113256,0.1612434821,,2002/03 S,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,1166,0.3891855808,2.23,0.2801507538,110.4,,240,246.192,0.6046358559,279840,535.2,0.7656477105,3.267080139,716,,,,,,,,,,,0.412,,,,,,,Wild,,,,,0.6814018652,-0.3715855397,-0.1894836335,0.1506929229,,2002/03 W,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,1213,0.4113258732,2.32,0.2914572864,25,,22.4,58,0.1424452445,27171.2,51.968,0.07434450714,0.08031552528,716,,,,,,,,,,,0.511,,,,,,,Wild,,,,,3.587343345,0.7256926177,0.5640178095,0.7933457211,,2002/03 W,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,1783,0.7494745691,3.41,0.4283919598,30.2,,32.8,102.982,0.2529188995,58482.4,111.848,0.1600077824,0.19048722,716,,,,,,,,,,,0.064,,,,,,,Wild,,,,,0.2530455419,-0.6639326411,-0.5961111812,0.05596135598,,2002/03 W,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK
,Guimarães 2022,Pol’ana PLA,425,Red deer,Cervus elaphus,Cervus elaphus,1342,0.09395785199,1.876,0.05522682446,,,240,,,322080,450.24,0.06882649331,0.07391371513,100,44,102,,,41.9,,,0.7586206897,,,0.721,,103.796,155.0524,0.669425304,2.025034922,,Wild,,,,,,,,,,Winter 2015-2017,MWI,P-3-3,CNT,MSP,3,T,3,GUS22PAP,PAP,6,2,1,1
,Guimarães 2022,Pol’ana PLA,425,Roe deer,Capreolus capreolus,Capreolus capreolus,1140,0.07870210563,1.591,0.04683682181,,,22.4,,,25536,35.6384,0.005447908003,0.005477750282,100,27,102,,,25.7,,,0.36,,,0.069,,16.6914,155.0524,0.1076500589,0.1206365956,,Wild,,,small and agile. Less negatively affected by snow than wild boar.,,,,,,,Winter 2015-2017,MWI,P-3-3,CNT,MSP,3,T,3,GUS22PAP,PAP,6,2,1,1
,Guimarães 2022,Pol’ana PLA,425,Wild boar,Sus scrofa,Sus scrofa,449,0.02958618872,0.632,0.01860519886,,,84.5,,,37940.5,53.404,0.008163668374,0.008230862405,100,31,102,,,29.5,,,0.4366197183,,,0.21,,34.565,155.0524,0.2229246371,0.2868764701,,Wild,,,assumed to be more negatively affected by snow depth that roe deer due to smaller body size and greater hindrance of mobility,,,,,,,Winter 2015-2017,MWI,P-3-3,CNT,MSP,3,T,3,GUS22PAP,PAP,6,2,1,1
,Guimarães 2022,Pol’ana PLA,425,Cattle,Bos taurus,Bos taurus,3647,0.3044748706,8.581,0.2526126763,,,613,,,2235611,5260.153,0.8040997807,4.104639512,100,0,102,,,0,,,0,,,0,,0,155.0524,0,0,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,,,Winter 2015-2017,MWI,P-3-3,GSO,MYR,3,T,3,GUS22PAP,PAP,6,2,1,1
,Guimarães 2022,Pol’ana PLA,425,Sheep,Ovis aries,Ovis aries,8574,1.215997731,20.175,0.5939238718,,,34.2,,,293230.8,689.985,0.1054754086,0.1179122516,100,0,102,,,0,,,0,,,0,,0,155.0524,0,0,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,,,Winter 2015-2017,MWI,P-3-3,GSO,MYR,3,T,3,GUS22PAP,PAP,6,2,1,1
,Guimarães 2022,Pol’ana PLA,425,Goat,Capra hircus,Capra hircus,473,0.03121700106,1.114,0.03279460685,,,46.9,,,22183.7,52.2466,0.007986740994,0.008051042586,100,0,102,,,0,,,0,,,0,,0,155.0524,0,0,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,,,Winter 2015-2017,MWI,P-3-3,GSO,MYR,3,T,3,GUS22PAP,PAP,6,2,1,1
,Guimarães 2022,Vepor Mountains,225,Red deer,Cervus elaphus,Cervus elaphus,498,0.08202931972,1.529,0.05499802165,,,240,,,119520,366.96,0.06412113989,0.06851435866,64,34,69,,,48.6,,,0.9714285714,,,0.736,,80.206,114.7598,0.6989032745,2.32119188,,Wild,,,,,,,,,,Winter 2015-2017,MWI,P-3-3,CNT,MSP,3,T,3,GUS22VPM,VPM,6,2,1,1
,Guimarães 2022,Vepor Mountains,225,Roe deer,Capreolus capreolus,Capreolus capreolus,371,0.05985801872,1.139,0.04096974929,,,22.4,,,8310.4,25.5136,0.004458145614,0.004478109679,64,9,69,,,12.9,,,0.15,,,0.03,,5.5638,114.7598,0.04848213399,0.05095241584,,Wild,,,small and agile. Less negatively affected by snow than wild boar.,,,,,,,Winter 2015-2017,MWI,P-3-3,CNT,MSP,3,T,3,GUS22VPM,VPM,6,2,1,1
,Guimarães 2022,Vepor Mountains,225,Wild boar,Sus scrofa,Sus scrofa,145,0.02257160648,0.439,0.01579079889,,,84.5,,,12252.5,37.0955,0.00648192104,0.006524210457,64,26,69,,,37.1,,,0.6046511628,,,0.233,,28.99,114.7598,0.2526145915,0.3379977568,,Wild,,,assumed to be more negatively affected by snow depth that roe deer due to smaller body size and greater hindrance of mobility,,,,,,,Winter 2015-2017,MWI,P-3-3,CNT,MSP,3,T,3,GUS22VPM,VPM,6,2,1,1
,Guimarães 2022,Vepor Mountains,225,Cattle,Bos taurus,Bos taurus,1724,0.3558307534,7.664,0.2756735369,,,613,,,1056812,4698.032,0.8209155414,4.583957468,64,0,69,,,0,,,0,,,0,,0,114.7598,0,0,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,,,Winter 2015-2017,MWI,P-3-3,GSO,MYR,3,T,3,GUS22VPM,VPM,6,2,1,1
,Guimarães 2022,Vepor Mountains,225,Sheep,Ovis aries,Ovis aries,3603,1.214767363,16.015,0.5760584152,,,34.2,,,123222.6,547.713,0.09570520463,0.1058340766,64,0,69,,,0,,,0,,,0,,0,114.7598,0,0,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,,,Winter 2015-2017,MWI,P-3-3,GSO,MYR,3,T,3,GUS22VPM,VPM,6,2,1,1
,Guimarães 2022,Vepor Mountains,225,Goat,Capra hircus,Capra hircus,228,0.03595647374,1.015,0.03650947808,,,46.9,,,10693.2,47.6035,0.008318047424,0.008387817689,64,0,69,,,0,,,0,,,0,,0,114.7598,0,0,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,,,Winter 2015-2017,MWI,P-3-3,GSO,MYR,3,T,3,GUS22VPM,VPM,6,2,1,1
,Guimarães 2022,Muráň Plateau NP,600,Red deer,Cervus elaphus,Cervus elaphus,1271,0.09992138365,1.306,0.06077179246,,,240,,,305040,313.44,0.07039645895,0.07572739974,114,43,119,,,36.1,,,0.5657894737,,,0.61,,101.437,176.9266,0.5733281485,1.343721519,,Wild,,,,,,,,,,Winter 2015-2017,MWI,P-3-3,CNT,MSP,3,T,3,GUS22MRP,MRP,7,2,1,1
,Guimarães 2022,Muráň Plateau NP,600,Roe deer,Capreolus capreolus,Capreolus capreolus,1073,0.08306239356,1.113,0.05179096861,,,22.4,,,24035.2,24.9312,0.005599375311,0.00563090486,114,17,119,,,14.3,,,0.1666666667,,,0.037,,10.5094,176.9266,0.05939977369,0.0631509243,,Wild,,,small and agile. Less negatively affected by snow than wild boar.,,,,,,,Winter 2015-2017,MWI,P-3-3,CNT,MSP,3,T,3,GUS22MRP,MRP,7,2,1,1
,Guimarães 2022,Muráň Plateau NP,600,Wild boar,Sus scrofa,Sus scrofa,535,0.03975921522,0.5499,0.02558836805,,,84.5,,,45207.5,46.46655,0.01043606617,0.01054612624,114,57,119,,,47.9,,,0.9193548387,,,0.335,,63.555,176.9266,0.3592167599,0.5605901302,,Wild,,,assumed to be more negatively affected by snow depth that roe deer due to smaller body size and greater hindrance of mobility,,,,,,,Winter 2015-2017,MWI,P-3-3,CNT,MSP,3,T,3,GUS22MRP,MRP,7,2,1,1
,Guimarães 2022,Muráň Plateau NP,600,Cattle,Bos taurus,Bos taurus,3517,0.3357838457,5.862,0.2727750746,,,613,,,2155921,3593.406,0.8070541666,4.182801734,114,0,119,,,0,,,0,,,0,,0,176.9266,0,0,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,,,Winter 2015-2017,MWI,P-3-3,GSO,MYR,3,T,3,GUS22MRP,MRP,7,2,1,1
,Guimarães 2022,Muráň Plateau NP,600,Sheep,Ovis aries,Ovis aries,7034,1.011067989,11.724,0.5455501491,,,34.2,,,240562.8,400.9608,0.09005302609,0.09896513607,114,2,119,,,1.7,,,0.01709401709,,,0.018,,1.4252,176.9266,0.008055317855,0.00812073294,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,,,Winter 2015-2017,MWI,P-3-3,GSO,MYR,3,T,3,GUS22MRP,MRP,7,2,1,1
,Guimarães 2022,Muráň Plateau NP,600,Goat,Capra hircus,Capra hircus,511,0.03790801187,0.852,0.03964591667,,,46.9,,,23965.9,39.9588,0.008974470469,0.009055740949,114,0,119,,,0,,,0,,,0,,0,176.9266,0,0,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,,,Winter 2015-2017,MWI,P-3-3,GSO,MYR,3,T,3,GUS22MRP,MRP,7,2,1,1
,Guimarães 2022,Muráň Plateau NP,600,Horse,,Equus caballus,50,0.00358654329,0.08333333333,0.003877730504,,,400,,,20000,33.33333333,0.007486436421,0.007542905906,114,0,119,,,0,,,0,,,0,,0,176.9266,0,0,,Livestock,,,,,,,,,,Winter 2015-2017,MWI,P-3-3,GSO,MYR,3,T,3,GUS22MRP,MRP,7,2,1,1
,Guimarães 2022,Poloniny NP,125,Red deer,Cervus elaphus,Cervus elaphus,201,0.1275380711,1.447,0.1051614122,,,240,,,48240,347.28,0.08624688085,0.0943875091,43,41,46,,,89.1,,,8.2,,,0.957,,96.719,101.7972,0.9501145415,19.04592178,,Wild,,,,,,,,,,Winter 2015-2017,MWI,P-3-3,CNT,MSP,3,T,3,GUS22PNP,PNP,7,2,1,1
,Guimarães 2022,Poloniny NP,125,Roe deer,Capreolus capreolus,Capreolus capreolus,275,0.1830892144,1.984,0.1441881423,,,22.4,,,6160,44.4416,0.01103705765,0.01116023379,43,1,46,,,2.2,,,0.02222222222,,,0.004,,0.6182,101.7972,0.006072858586,0.00610996353,,Wild,,,small and agile. Less negatively affected by snow than wild boar.,,,,,,,Winter 2015-2017,MWI,P-3-3,CNT,MSP,3,T,3,GUS22PNP,PNP,7,2,1,1
,Guimarães 2022,Poloniny NP,125,Wild boar,Sus scrofa,Sus scrofa,102,0.06089552239,0.7398,0.05376531636,,,84.5,,,8619,62.5131,0.0155251091,0.01576993912,43,4,46,,,8.7,,,0.09523809524,,,0.039,,4.46,101.7972,0.04381259995,0.04582009756,,Wild,,,assumed to be more negatively affected by snow depth that roe deer due to smaller body size and greater hindrance of mobility,,,,,,,Winter 2015-2017,MWI,P-3-3,CNT,MSP,3,T,3,GUS22PNP,PNP,7,2,1,1
,Guimarães 2022,Poloniny NP,125,European bison,Bison bonasus,Bison bonasus,40,0.02302820956,0.32,0.02325615198,,,673,,,26920,215.36,0.05348458955,0.0565068344,43,0,46,,,0,,,0,,,0,,0,101.7972,0,0,,Wild,,,,,,,,,,Winter 2015-2017,MWI,P-3-3,CNT,MSP,3,T,3,GUS22PNP,PNP,7,2,1,1
,Guimarães 2022,Poloniny NP,125,Cattle,Bos taurus,Bos taurus,655,0.5837789661,5.24,0.3808194887,,,613,,,401515,3212.12,0.7977290109,3.94386271,43,0,46,,,0,,,0,,,0,,0,101.7972,0,0,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,,,Winter 2015-2017,MWI,P-3-3,GSO,MYR,3,T,3,GUS22PNP,PNP,7,2,1,1
,Guimarães 2022,Poloniny NP,125,Sheep,Ovis aries,Ovis aries,434,0.3231571109,3.472,0.252329249,,,34.2,,,14842.8,118.7424,0.0294896384,0.03038570176,43,0,46,,,0,,,0,,,0,,0,101.7972,0,0,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,,,Winter 2015-2017,MWI,P-3-3,GSO,MYR,3,T,3,GUS22PNP,PNP,7,2,1,1
,Guimarães 2022,Poloniny NP,125,Goat,Capra hircus,Capra hircus,70,0.0410076157,0.557,0.04048023954,,,46.9,,,3283,26.1233,0.006487713495,0.006530078775,43,0,46,,,0,,,0,,,0,,0,101.7972,0,0,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,,,Winter 2015-2017,MWI,P-3-3,GSO,MYR,3,T,3,GUS22PNP,PNP,7,2,1,1
"also has corrected Abs FO for ""corrected no. of prey items"". Also had individuals consumed, which may just be the minimum number of kills extrapolated from mass in scat?",Hosseini-Zavarei 2013,Ghamishlou,1130,Persian gazelle,Gazella subgutturosa,Gazella subgutturosa,2400,0.1548387097,2.123893805,0.1340782123,27.5,,26.7,58.40707965,0.1088749588,64080,56.7079646,0.1076160887,0.1205939364,132,41,136,31,,,,,0.4315789474,,,0.27,,26.7566,95.6728,0.2796677844,0.3882483364,33,Wild,,,,,2.479909091,0.5033860045,0.4252723425,0.1253720248,,July 2007-April 2009,MYR,P-1-2,GSO,U,1,T,2,HOI13GHA,GHA,4,3,1,2
"Ovis orientalis and Ovis gmellini aren't in PanTheria database so domestic sheep weight was used. also has corrected Abs FO for ""corrected no. of prey items"". Also had individuals consumed, which may just be the minimum number of kills extrapolated from mass in scat?",Hosseini-Zavarei 2013,Ghamishlou,1130,Esfahan wild sheep,Ovis orientalis,Ovis aries orientalis,2400,0.1548387097,2.123893805,0.1340782123,34,,34.2,72.21238938,0.1346090399,82080,72.63716814,0.1378453271,0.1598846836,132,23,136,17,,,,,0.203539823,,,0.159,,16.3898,95.6728,0.1713109682,0.2067252753,17,Wild,,,,,1.181198529,0.09725132698,0.0830729193,0.05971559679,,July 2007-April 2009,MYR,P-1-2,GSO,U,1,T,2,HOI13GHA,GHA,4,3,1,2
"Capra aegragus is not in PanTheria so Capra hircus was used. also has corrected Abs FO for ""corrected no. of prey items"". Also had individuals consumed, which may just be the minimum number of kills extrapolated from mass in scat?",Hosseini-Zavarei 2013,Ghamishlou,1130,Persian wild goat,Capra aegagrus,Capra hircus aegagrus,100,0.005617977528,0.08849557522,0.005586592179,36.0,,46.9,3.185840708,0.005938634114,4690,4.150442478,0.007876396003,0.007938926129,132,12,136,1,,,,,0.09677419355,,,0.092,,9.7704,95.6728,0.1021230695,0.1137383822,9.5,Wild,,,,,15.49177778,0.8886420931,0.8787274467,0.7831882045,,July 2007-April 2009,MYR,P-1-2,GSO,U,1,T,2,HOI13GHA,GHA,4,3,1,2
"also has corrected Abs FO for ""corrected no. of prey items"". Also had individuals consumed, which may just be the minimum number of kills extrapolated from mass in scat?",Hosseini-Zavarei 2013,Ghamishlou,1130,Domestic sheep and goat,Ovis aries and Capra hircus,Capra hircus and Ovis aries,13000,2.653061224,11.50442478,0.7262569832,35,,34.2,402.6548673,0.7505773672,444600,393.4513274,0.7466621883,2.947298641,132,60,136,45,,,,,0.7894736842,,,0.471,,42.756,95.6728,0.446898178,0.8079853657,49.5,Livestock,Guarded,,"13000 in 30 herds. 65% sheep, the rest goat). Allowed to graze in pastures in the Wildlife Refuge for a 100-day period in winter (January–March), but are not allowed to enter the National Park. Guarded by herd dogs (""similar in size to an adult wolf"") during day. Return to corrals at night",,0.6275169231,-0.5433608776,-0.2288658702,0.0317241739,,July 2007-April 2009,MYR,P-2-2,U,U,2,T,2,HOI13GHA,GHA,4,3,1,2
