Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Num_Ind,Ratio_Ind_Avail,Density,Prop_Ind_Avail,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Pan_kg_Avail,Pan_BM_Avail,Pan_Prop_BM_Avail,Pan_Ratio_BM_Avail,Scat_n_Tot,Scat_n_Prey,n_Occ_Anal,Abs_FO,Abs_FO_CI,Rel_FO,Rel_FO_CI,Rel_FO_Anal,Ratio_Occ,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Err_Prop_BM_Consumed,Pan_BM_Consumed,Pan_Tot_BM_Consumed,Pan_Prop_BM_Cons,Pan_Ratio_BM_Cons,BM_Equiv,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,BM_Use,Jacobs_BM,Ivlevs_BM,Chesson_BM,Timepoint,Period,Season,A_C_Code,A_Code,Avail_Season,n_Avail_Season_Points,C_Code,n_C_Points,Study_Code,Area_Code,n_Prey_Species,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n
PanTheria has no distiction between wild or domestic pigs.,Capitani 2004,Cecina Valley,25,Wild boar,Sus scrofa,Sus scrofa,375,0.5769230769,15,0.3658536585,,,84.5,,,31687.5,1267.5,0.2735807241,1.52270543,118,24,119,20.3,,,,,0.2526315789,15.9,,,,26.76,93.34165455,0.2866887257,0.4019125115,,Wild,,,Possible positive selection for juveniles. ,,,,,,,Sept 2000-Aug 2001,SYR,UA,HH,SWI,1,T,1,CAI04CCV,CCV,3,UK,UK,UK
Cervids = Roe deer (Capreolus capreolus) and fallow deer (Dama dama). ,Capitani 2004,Cecina Valley,25,Cervids,See notes,,550,1.157894737,22,0.5365853659,,,31.61818182,,,17390,695.6,0.150140238,0.4953357545,118,54,119,45.8,,,,,0.8307692308,40.5,,,,37.36505455,93.34165455,0.4003041807,0.6675120416,,Wild,,,"Cervids = Roe deer (Capreolus capreolus), red deer (Cervus elaphus), and fallow deer (Dama dama)",,,,,,,Sept 2000-Aug 2001,SYR,UA,DC (roe deer) + CNT (fallow),SSP,1,T,1,CAI04CCV,CCV,3,UK,UK,UK
,Capitani 2004,Cecina Valley,25,Mouflon,Ovis ammon musimon,Ovis aries musimon,100,0.1081081081,4,0.09756097561,,,34.2,,,3420,136.8,0.02952729236,0.06968570119,118,41,119,34.7,,,,,0.5256410256,33,,,,29.2166,93.34165455,0.3130070936,0.4556191056,,Wild,,,Bovids = mouflon (Ovis ammon musimon) and chamois (Rupicapra rupicapra),,,,,,,Sept 2000-Aug 2001,SYR,UA,CNT,SSP,1,T,1,CAI04CCV,CCV,3,UK,UK,UK
"Baldy lake pack scat and carcass data. Carcass data is for whole period, scat data is only for 19 days near end of period (but no discrimination between when the scat was deposited so RB considered it to be winter. BM equiv is for scat data (not entirely sure what it means)",Carbyn 1983,Riding mountain Baldy lake,290,Elk,Cervus elaphus,Cervus elaphus,688,2.170347003,2.372413793,0.6845771144,,,240,,,165120,569.3793103,0.5516375068,1.230338209,61,53,59,86.8852459,,,,89.83050847,8.833333333,,,,,125.027,150.749,0.8293720025,4.8607029,1.1,Wild,,,,,,,,,1,1978-1979 Winters (Oct 1978- May 1979),SWI,A,AS + GS,SWI,1,PF,1,CAN83RDM-B,RDM-B,3,UK,UK,UK
"Baldy lake pack scat and carcass data. Carcass data is for whole period, scat data is only for 19 days near end of period (but no discrimination between when the scat was deposited so RB considered it to be winter. BM equiv is for scat data (not entirely sure what it means)",Carbyn 1983,Riding mountain Baldy lake,290,Moose,Alces alces,Alces alces,272,0.3710777626,0.9379310345,0.2706467662,,,481,,,130832,451.1448276,0.4370871989,0.7764740793,61,6,59,9.836065574,,,,10.16949153,0.1132075472,,,,,25.722,150.749,0.1706279975,0.205731562,0.13,Wild,,,,,,,,,1,1978-1979 Winters (Oct 1978- May 1979),SWI,A,AS,SWI,1,PF,1,CAN83RDM-B,RDM-B,3,UK,UK,UK
"Baldy lake pack scat and carcass data. Carcass data is for whole period, scat data is only for 19 days near end of period (but no discrimination between when the scat was deposited so RB considered it to be winter. BM equiv is for scat data (not entirely sure what it means)",Carbyn 1983,Riding mountain Baldy lake,290,White-tailed deer,Odocoileus virginianus ,Odocoileus virginianus,45,0.046875,0.1551724138,0.0447761194,,,75,,,3375,11.63793103,0.01127529424,0.0114038763,61,0,59,0,,,,0,0,,,,,0,150.749,0,0,0,Wild,,,,,,,,,1,1978-1979 Winters (Oct 1978- May 1979),SWI,A,GS,SWI,1,PF,1,CAN83RDM-B,RDM-B,3,UK,UK,UK
Number_ind_err is the +/- 90% CI. Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,455,0.4080717489,0.3791666667,0.2898089172,,,75,,,34125,28.4375,0.04858066169,0.05106125106,199,,,,,,,,,23,,,,,,,,,Wild,,,flee,,,,,,1,1997 (Spring-Autumn),SNW,G,AS,SWI,1,T,1,CHZ05AGZ,AGZ,3,UK,UK,UK
Number_ind_err is the +/- 90% CI. Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,Moose,Alces alces,Alces alces,115,0.07903780069,0.09583333333,0.07324840764,,,481,,,55315,46.09583333,0.07874693924,0.08547807611,199,,,,,,,,,15.3,,,,,,,,,Wild,,,"dangerous and formidable. ""many moose in the area were debilitated with brainworm (Parelaphostrongylus tenuis) which causes behaviors such as aimless walking in circles, frequent stumbling, poor coordination or balance, and weakness or paralysis of their legs (Anderson, 1964).""",,,,,,1,1997 (Spring-Autumn),SNW,G,AS,SWI,1,T,1,CHZ05AGZ,AGZ,3,UK,UK,UK
,Chavez 2005,Agassiz,1200,Cattle,Bos taurus,Bos taurus,1000,1.754385965,0.8333333333,0.6369426752,,,613,,,613000,510.8333333,0.8726723991,6.853756708,199,,,,,,,,,8,,,,,,,,,Livestock,,,farmers reported seeing cattle chase away wolves,,,,,,1,1997 (Spring-Autumn),SNW,G,FARM,SWI,1,T,1,CHZ05AGZ,AGZ,3,UK,UK,UK
Number_ind_err is the +/- 90% CI. Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,432,0.3902439024,0.36,0.2807017544,,,75,,,32400,27,0.04649380728,0.04876088655,101,,,,,,,,,49.1,,,,,,,,,Wild,,,flee,,,,,,2,1998 (Spring-Autumn),SNW,G,AS,SWI,1,T,1,CHZ05AGZ,AGZ,3,UK,UK,UK
