Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Period,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Err_Prop_BM_Consumed,BM_Equiv,n_Kills_Tot,n_Kills_Prey,n_Kill_Anal,Prop_Kills,Ratio_Kills,Prop_Kills_Anal,Perc_Kills_Anal,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Pack_Name,n_Packs,n_Wolves,Avg_Wolf_Density,Range_Wolf_Density,Avg_Pack_Size,Range_Pack_Size,Timepoint,A_C_Code,Avail_Code,Avail_Season,n_Avail_Points,Cons_Code,Cons_Season,n_Cons_Points,Study_Code,Area_Code,n_Prey_Species,Pop_Scale
"Density for the two species taken at different times (Elk = January 1991, Deer = late apr/early march 1991)",Boyd 1994,North Fork Flathead River Glacier National Park,not given ,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,1985-1991 Winter (Nov-Apr),1296,,,,,,75,,,,,,,243,137,205,0.5637860082,,0.6682926829,,Wild,,,WT deer prefered closed habitats but may be pushed out by large groups of elk,,,,,,,,1,P-1-6,AS,SWI,1,KM,MWI,6,BOD94NFF,NFF,2,POP
Audy lake pack,Carbyn 1983,Riding mountain Audy lake,268,Elk,Cervus elaphus,Cervus elaphus,1978 Winter (1 Jan-4 Apr 1978),372,,,1.388059701,,,240,,,,,,,14,8,14,0.5714285714,,0.5714285714,57.14285714,Wild,,,,,,,,,,,1,A,AS + GS,SWI,1,AWT-G,SWI,1,CAN83RDM-A,RDM-A,3,PT
Audy lake pack,Carbyn 1983,Riding mountain Audy lake,268,Moose,Alces alces,Alces alces,1978 Winter (1 Jan-4 Apr 1978),164,,,0.6119402985,,,481,,,,,,,14,0,14,0,,0,0,Wild,,,,,,,,,,,1,A,AS,SWI,1,AWT-G,SWI,1,CAN83RDM-A,RDM-A,3,PT
Audy lake pack,Carbyn 1983,Riding mountain Audy lake,268,White-tailed deer,Odocoileus virginianus ,Odocoileus virginianus,1978 Winter (1 Jan-4 Apr 1978),120,,,0.447761194,,,75,,,,,,,14,6,14,0.4285714286,,0.4285714286,42.85714286,Wild,,,,,,,,,,,1,A,GS,SWI,1,AWT-G,SWI,1,CAN83RDM-A,RDM-A,3,PT
"Baldy lake pack scat and carcass data. Carcass data is for whole period, scat data is only for 19 days near end of period (but no discrimination between when the scat was deposited so RB considered it to be winter. BM equiv is for scat data (not entirely sure what it means)",Carbyn 1983,Riding mountain Baldy lake,290,Elk,Cervus elaphus,Cervus elaphus,1978-1979 Winters (Oct 1978- May 1979),688,,,2.372413793,,,240,,,,,,,23,21,23,0.9130434783,,0.9130434783,91.30434783,Wild,,,,,,,,,,,1,A,AS + GS,SWI,1,KM,SWI,1,CAN83RDM-B,RDM-B,3,PT
"Baldy lake pack scat and carcass data. Carcass data is for whole period, scat data is only for 19 days near end of period (but no discrimination between when the scat was deposited so RB considered it to be winter. BM equiv is for scat data (not entirely sure what it means)",Carbyn 1983,Riding mountain Baldy lake,290,Moose,Alces alces,Alces alces,1978-1979 Winters (Oct 1978- May 1979),272,,,0.9379310345,,,481,,,,,,,23,2,23,0.08695652174,,0.08695652174,8.695652174,Wild,,,,,,,,,,,1,A,AS,SWI,1,KM,SWI,1,CAN83RDM-B,RDM-B,3,PT
"Baldy lake pack scat and carcass data. Carcass data is for whole period, scat data is only for 19 days near end of period (but no discrimination between when the scat was deposited so RB considered it to be winter. BM equiv is for scat data (not entirely sure what it means)",Carbyn 1983,Riding mountain Baldy lake,290,White-tailed deer,Odocoileus virginianus ,Odocoileus virginianus,1978-1979 Winters (Oct 1978- May 1979),45,,,0.1551724138,,,75,,,,,,,23,0,23,0,,0,0,Wild,,,,,,,,,,,1,A,GS,SWI,1,KM,SWI,1,CAN83RDM-B,RDM-B,3,PT
"All wolf numbers for this study (n_Packs, density, etc are just of the packs for which data was collected)",Hayes 2000,Finlayson Lake,23000,Moose,Alces alces,Alces alces,Feb-March 1990-1994,5313,,,0.308,400,"Adult (female =375, male=413, unknown sex = 400) from various sources",481,,,,0.94,,,209,179,,,,,,Wild,,,"""many calf and yearling moose were available in most winters and were also highly profitable and low-risk prey""",,21,,,,6.311111111,2 to 20,,,AS,SWI,1,AWT,MWI,5,HAS00FLL,FLL,,POP
Large numbers of wintering caribou were available to 4 packs during 11 predation periods,Hayes 2000,Finlayson Lake,23000,Caribou,Rangifer tarandus caribou,Rangifer tarandus,Feb-March 1990-1994,,,,0.2586956522,152,Average adult (Yukon fish and wildlife),108,,,,,,,209,25,,,,,,Wild,,,"""probably posed less of a risk to hunt""",,21,,,,6.311111111,2 to 20,,,AS,SWI,1,AWT,MWI,5,HAS00FLL,FLL,,POP
"All wolf numbers for this study (n_Packs, density, etc are just of the packs for which data was collected). Only 75% (17250km^2) of the study area was moose habitable",Hayes 2000,Finlayson Lake,23000,Moose,Alces alces,Alces alces,Winter 1990,4537,,,0.263,400,"Adult (female =375, male=413, unknown sex = 400) from various sources",481,,,,,,,56,54,,,,,,Wild,,,"""many calf and yearling moose were available in most winters and were also highly profitable and low-risk prey""",,12,61,0.002652173913,0.002652173913,5.083333333,2 to 17,1,,MTRX,SWI,1,AWT,SWI,1,HAS00FLL,FLL,,POP
Large numbers of wintering caribou were available to 4 packs during 11 predation periods. See calculations sheet for density.,Hayes 2000,Finlayson Lake,23000,Caribou,Rangifer tarandus caribou,Rangifer tarandus,Winter 1990,,,,0.2192336035,152,Average adult (Yukon fish and wildlife),108,,,,,,,56,1,,,,,,Wild,,,"""probably posed less of a risk to hunt""",,12,61,0.002652173913,0.002652173913,5.083333333,2 to 17,1,,MTRX,SWI,1,AWT,SWI,1,HAS00FLL,FLL,,POP
,Hayes 2000,Finlayson Lake,23000,Moose,Alces alces,Alces alces,Winter 1991,5313,,,0.308,400,"Adult (female =375, male=413, unknown sex = 400) from various sources",481,,,,,,,20,14,,,,,,Wild,,,"""many calf and yearling moose were available in most winters and were also highly profitable and low-risk prey""",,8,28,0.001217391304,0.001217391304,3.5,2 to 7,2,,MTRX,SWI,1,AWT,SWI,1,HAS00FLL,FLL,,POP
Large numbers of wintering caribou were available to 4 packs during 11 predation periods. See calculations sheet for density.,Hayes 2000,Finlayson Lake,23000,Caribou,Rangifer tarandus caribou,Rangifer tarandus,Winter 1991,,,,0.2586956522,152,Average adult (Yukon fish and wildlife),108,,,,,,,20,6,,,,,,Wild,,,"""probably posed less of a risk to hunt""",,8,28,0.001217391304,0.001217391304,3.5,2 to 7,2,,AS,SWI,1,AWT,SWI,1,HAS00FLL,FLL,,POP
,Hayes 2000,Finlayson Lake,23000,Moose,Alces alces,Alces alces,Winter 1992,6227,,,0.361,400,"Adult (female =375, male=413, unknown sex = 400) from various sources",481,,,,,,,44,35,,,,,,Wild,,,"""many calf and yearling moose were available in most winters and were also highly profitable and low-risk prey""",,10,67,0.002913043478,0.002913043478,6.7,2 to 14,3,,MTRX,SWI,1,AWT,SWI,1,HAS00FLL,FLL,,POP
Large numbers of wintering caribou were available to 4 packs during 11 predation periods. See calculations sheet for density.,Hayes 2000,Finlayson Lake,23000,Caribou,Rangifer tarandus caribou,Rangifer tarandus,Winter 1992,,,,0.2450365217,152,Average adult (Yukon fish and wildlife),108,,,,,,,44,9,,,,,,Wild,,,"""probably posed less of a risk to hunt""",,10,67,0.002913043478,0.002913043478,6.7,2 to 14,3,,MTRX,SWI,1,AWT,SWI,1,HAS00FLL,FLL,,POP
,Hayes 2000,Finlayson Lake,23000,Moose,Alces alces,Alces alces,Winter 1993,6952,,,0.403,400,"Adult (female =375, male=413, unknown sex = 400) from various sources",481,,,,,,,34,31,,,,,,Wild,,,"""many calf and yearling moose were available in most winters and were also highly profitable and low-risk prey""",,7,56,0.002434782609,0.002434782609,8,2 to 11,4,,MTRX,SWI,1,AWT,SWI,1,HAS00FLL,FLL,,POP
Large numbers of wintering caribou were available to 4 packs during 11 predation periods. See calculations sheet for density.,Hayes 2000,Finlayson Lake,23000,Caribou,Rangifer tarandus caribou,Rangifer tarandus,Winter 1993,,,,0.2320985934,152,Average adult (Yukon fish and wildlife),108,,,,,,,34,3,,,,,,Wild,,,"""probably posed less of a risk to hunt""",,7,56,0.002434782609,0.002434782609,8,2 to 11,4,,MTRX,SWI,1,AWT,SWI,1,HAS00FLL,FLL,,POP
,Hayes 2000,Finlayson Lake,23000,Moose,Alces alces,Alces alces,Winter 1994,7642,,,0.443,400,"Adult (female =375, male=413, unknown sex = 400) from various sources",481,,,,,,,48,45,,,,,,Wild,,,"""many calf and yearling moose were available in most winters and were also highly profitable and low-risk prey""",,8,72,0.003130434783,0.003130434783,9,2 to 20,5,,MTRX,SWI,1,AWT,SWI,1,HAS00FLL,FLL,,POP
Large numbers of wintering caribou were available to 4 packs during 11 predation periods. See calculations sheet for density.,Hayes 2000,Finlayson Lake,23000,Caribou,Rangifer tarandus caribou,Rangifer tarandus,Winter 1994,,,,0.2198437877,152,Average adult (Yukon fish and wildlife),108,,,,,,,48,3,,,,,,Wild,,,"""probably posed less of a risk to hunt""",,8,72,0.003130434783,0.003130434783,9,2 to 20,5,,MTRX,SWI,1,AWT,SWI,1,HAS00FLL,FLL,,POP
Spray pack territory is the southern third of the study area,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Elk,Cervus elaphus,Cervus elaphus,Winter 1989-1990,258,,,3.518183417,226.5620155,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,240,,,,,,,34,24,,,,,,Wild,,,"High habitat overlap with wolves. Individual encounter rate of 0.69 (highest od any prey) and group encounter of 0.38 (second highest encounter). Mean herd size of 10.3. Southern half of Bow Valley is an important wintering area for elk. ""rarely defend themselves actively (Carbyn 1974), but frequently seek refuge in deep water"". May be more detectable to wolves since they are larger, in larger herds, and more frequently occupy more open areas. Flee from wolves.",Spray,1,5-8,,,,5-8,,U,AS,WI,U,SNOW,MWI,1,HUD93BVB,BVB,,PT
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Deer,Odocoileus hemionus and Odocoileus virginianus,Odocoileus hemionus and Odocoileus virginianus,Winter 1989-1990,85,,,1.159091436,59.97647059,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,79.4,,,,,,,34,7,,,,,,Wild,,,"Includes both white-tailed and mule deer. High habitat overlap with wolves. Individual encounter rate of 0.22 (second highest of any prey) and group encounter of 0.50 (highest of any prey). Mean herd size of 2.5. Southern half of Bow Valley is an important wintering area for mule deer and white tailed deer. May be less detectable to wolves than elk since they are smaller, in smaller herds, and more frequently occupy more wooded and less open areas . Flee from wolves.",Spray,1,5-8,,,,5-8,,D,PC,SWI,1,SNOW,MWI,1,HUD93BVB,BVB,,PT
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Moose,Alces alces,Alces alces,Winter 1989-1990,14,,,0.1909091777,276.6428571,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,481,,,,,,,34,1,,,,,,Wild,,,"Individual encounter rate of 0.03 (second lowest of any prey) and group encounter of 0.08. Mean herd size of 2. ""However, known prey defensive behaviour suggests that moose are the only species in the BNP system that pose a substantial danger. Moose often defend themselves against wolves by means of foreleg kicks"". Do not always flee",Spray,1,5-8,,,,5-8,,D,PC,SWI,1,SNOW,MWI,1,HUD93BVB,BVB,,PT
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Bighorn sheep,Ovis canadensis,Ovis canadensis,Winter 1989-1990,145,,,1.977273626,77.49655172,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,74.6,,,,,,,34,2,,,,,,Wild,,,Low habitat overlap with wolves. Individual encounter rate of 0.05 (second lowest of any prey) and group encounter of 0.03 (second lowest of any prey). Mean herd size of 8.3. Often at higher elevations than wolves typically visit. Escape on to difficult terrain.,Spray,1,5-8,,,,5-8,,U,AS,WI,U,SNOW,MWI,1,HUD93BVB,BVB,,PT
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Mountain goat,Oreamnos americanus,Oreamnos americanus,Winter 1989-1990,51,,,0.6954548616,70,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,71.3,,,,,,,34,0,,,,,,Wild,,,Low habitat overlap with wolves. Individual encounter rate of <0.01 ( lowest of any prey) and group encounter of <0.01 (lowest of any prey). Mean herd size of 5. Often at higher elevations than wolves typically visit. Escape on to difficult terrain.,Spray,1,5-8,,,,5-8,,U,AS,WI,U,SNOW,MWI,1,HUD93BVB,BVB,,PT
Baker pack territory is the Nouthern 2/3 of the study area,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Elk,Cervus elaphus,Cervus elaphus,Winter 1989-1990,147,,,1.002272704,225.170068,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,240,,,,,,,18,10,,,,,,Wild,,,"High habitat overlap with wolves. Individual encounter rate of 0.71 (highest od any prey) and group encounter of 0.40 (second highest encounter). Mean herd size of 10.3. Southern half of Bow Valley is an important wintering area for elk. ""rarely defend themselves actively (Carbyn 1974), but frequently seek refuge in deep water"". May be more detectable to wolves since they are larger, in larger herds, and more frequently occupy more open areas. Flee from wolves.",Baker,1,8-9,,,,8-9,,U,AS,WI,U,SNOW,MWI,1,HUD93BVB,BVB,,PT
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Deer,Odocoileus hemionus and Odocoileus virginianus,Odocoileus hemionus and Odocoileus virginianus,Winter 1989-1990,39,,,0.2659090849,59.20512821,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,79.4,,,,,,,18,2,,,,,,Wild,,,"Includes both white-tailed and mule deer. High habitat overlap with wolves. Individual encounter rate of 0.20 (second highest of any prey) and group encounter of 0.48 (highest of any prey). Mean herd size of 2.5. Mean herd size of 2.5. Southern half of Bow Valley is an important wintering area for mule deer and white tailed deer. May be less detectable to wolves than elk since they are smaller, in smaller herds, and more frequently occupy more wooded and less open areas . Flee from wolves.",Baker,1,8-9,,,,8-9,,D,PC,SWI,1,SNOW,MWI,1,HUD93BVB,BVB,,PT
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Moose,Alces alces,Alces alces,Winter 1989-1990,8,,,0.05454545331,310.625,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,481,,,,,,,18,1,,,,,,Wild,,,"Individual encounter rate of 0.03 (second lowest of any prey) and group encounter of 0.08. Mean herd size of 2. ""However, known prey defensive behaviour suggests that moose are the only species in the BNP system that pose a substantial danger. Moose often defend themselves against wolves by means of foreleg kicks"". Do not always flee",Baker,1,8-9,,,,8-9,,D,PC,SWI,1,SNOW,MWI,1,HUD93BVB,BVB,,PT
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Bighorn sheep,Ovis canadensis,Ovis canadensis,Winter 1989-1990,79,,,0.5386363514,77.50632911,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,74.6,,,,,,,18,4,,,,,,Wild,,,Low habitat overlap with wolves. Individual encounter rate of 0.05 (second lowest of any prey) and group encounter of 0.03 (second lowest of any prey). Mean herd size of 8.3. Often at higher elevations than wolves typically visit. Escape on to difficult terrain.,Baker,1,8-9,,,,8-9,,U,AS,WI,U,SNOW,MWI,1,HUD93BVB,BVB,,PT
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Mountain goat,Oreamnos americanus,Oreamnos americanus,Winter 1989-1990,30,,,0.2045454499,70,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,71.3,,,,,,,18,1,,,,,,Wild,,,Low habitat overlap with wolves. Individual encounter rate of <0.01 ( lowest of any prey) and group encounter of <0.01 (lowest of any prey). Mean herd size of 5. Often at higher elevations than wolves typically visit. Escape on to difficult terrain.,Baker,1,8-9,,,,8-9,,U,AS,WI,U,SNOW,MWI,1,HUD93BVB,BVB,,PT
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220,Elk,Cervus elaphus,Cervus elaphus,Winter 1989-1990,405,,,1.840909091,225.8660418,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter. Averaged between values for each wolf pack,240,,,,,,,52,34,,,,,,Wild,,,"High habitat overlap with wolves. herd size of 10.3. Southern half of Bow Valley is an important wintering area for elk. ""rarely defend themselves actively (Carbyn 1974), but frequently seek refuge in deep water"". May be more detectable to wolves since they are larger, in larger herds, and more frequently occupy more open areas. Flee from wolves.",Spray and Baker,2,13-17,,0.0590909-0.0772727,,5-9,,U,AS,WI,U,SNOW,MWI,1,HUD93BVB,BVB,,POP
