Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Period,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Scat_n_Tot,Scat_n_Prey,Abs_FO,Rel_FO,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,Pack_Name,Timepoint,A_C_Code,Avail_Code,Avail_Season,n_Avail_Points,Cons_Code,Cons_Season,n_Cons_Points,Study_Code,Area_Code,n_Prey_Species,Wild_Ung_Avail_n,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n,Pop_Scale
,Chavez 2005,Agassiz,1200,Cattle,Bos taurus,Bos taurus,1998 (Spring-Autumn),1000,,,0.8333333333,,,613,,,101,,,,8.8,,,Livestock,,,farmers reported seeing cattle chase away wolves,,,2,G,FARM,SWI,1,T,SNW,1,CHZ05AGZ,AGZ,3,,UK,UK,UK,POP
Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,1999 (Spring-Autumn),504,,,0.42,,,75,,,232,,,,48.7,,,Wild,,,flee,,,3,G,AS,SWI,1,T,SNW,1,CHZ05AGZ,AGZ,3,,UK,UK,UK,POP
Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,Moose,Alces alces,Alces alces,1999 (Spring-Autumn),65,,,0.05416666667,,,481,,,232,,,,12,,,Wild,,,"dangerous and formidable. ""many moose in the area were debilitated with brainworm (Parelaphostrongylus tenuis) which causes behaviors such as aimless walking in circles, frequent stumbling, poor coordination or balance, and weakness or paralysis of their legs (Anderson, 1964).""",,,3,G,AS,SWI,1,T,SNW,1,CHZ05AGZ,AGZ,3,,UK,UK,UK,POP
,Chavez 2005,Agassiz,1200,Cattle,Bos taurus,Bos taurus,1999 (Spring-Autumn),1000,,,0.8333333333,,,613,,,232,,,,12.8,,,Livestock,,,farmers reported seeing cattle chase away wolves,,,3,G,FARM,SWI,1,T,SNW,1,CHZ05AGZ,AGZ,3,,UK,UK,UK,POP
Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,1997-1999 Spring-Autumn,464,,,0.3866666667,,,75,,,532,,,,39.2,,,Wild,,,flee,,,,P-3-3,AS,MWI,3,T,MNW,3,CHZ05AGZ,AGZ,3,,UK,UK,UK,POP
Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,Moose,Alces alces,Alces alces,1997-1999 Spring-Autumn,96,,,0.08,,,481,,,532,,,,13.6,,,Wild,,,"dangerous and formidable. ""many moose in the area were debilitated with brainworm (Parelaphostrongylus tenuis) which causes behaviors such as aimless walking in circles, frequent stumbling, poor coordination or balance, and weakness or paralysis of their legs (Anderson, 1964).""",,,,P-3-3,AS,MWI,3,T,MNW,3,CHZ05AGZ,AGZ,3,,UK,UK,UK,POP
,Chavez 2005,Agassiz,1200,Cattle,Bos taurus,Bos taurus,1997-1999 Spring-Autumn,1000,,,0.8333333333,,,613,,,532,,,,10.3,,,Wild,,,farmers reported seeing cattle chase away wolves,,,,P-3-3,FARM,MWI,3,T,MNW,3,CHZ05AGZ,AGZ,3,,UK,UK,UK,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Bharal,Pseudois nayaur,Pseudois nayaur,2012-2013,29850,,,5.97,34,Calculated for by RB,51.8,202.98,0.07382621125,57,,,1.76,4.42,,0.0409,Wild,,,Cliff-dwelling. Herd,Not known,,,,CNT,U,1,GRID,SYR,1,CHI17CHM,CHM,10,,6,2,4,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Himalayan tahr,Hemitragus jemlahicus,Hemitragus jemlahicus,2012-2013,4250,,,0.85,50,Calculated for by RB,67.90,42.50,0.01545774942,57,,,0,0,,0,Wild,,,Cliff-dwelling,Not known,,,,CNT,U,1,GRID,SYR,1,CHI17CHM,CHM,10,,6,2,4,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Tibetan argali,Ovis ammon hodgsonii,Ovis ammon hodgsonii,2012-2013,1200,,,0.24,80,Calculated for by RB,113.00,19.20,0.006983265622,57,,,2.3,8.95,,0.1257,Wild,,,Plains-dwelling,Not known,,,,CNT,U,1,GRID,SYR,1,CHI17CHM,CHM,10,,6,2,4,POP
