Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Err_Prop_BM_Consumed,BM_Equiv,n_Kills_Tot,n_Kills_Prey,n_Kill_Anal,Prop_Kills,Ratio_Kills,Prop_Kills_Anal,Perc_Kills_Anal,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,Timepoint,Period,Season,A_C_Code,A_Code,Avail_Season,Num_Avail_Points,C_Code,n_C_Points,Study_Code,Area_Code,n_Prey_Species,Pop_Scale
,Jędrzejewski 2012,3.  Pisz Forest,1350,Wild boar,Sus scrofa,Sus scrofa,,,0.117,,,,84.5,,,,0.068,,,18,,,,,,,Wild,,,,,,1998-2003,,,,,,,,JEI12PZF,PZF,4,POP
prop individuals was reported as <0.001,Jędrzejewski 2012,4. Napiwoda-Ramuki Forest,1940,Moose,Alces alces,Alces alces,,,0.0009,,,,481,,,,0,,,46,,,,,,,Wild,,,,,,1998-2003,,,,,,,,JEI12NRF,NRF,4,POP
,Jędrzejewski 2012,4. Napiwoda-Ramuki Forest,1940,Red deer,Cervus elaphus,Cervus elaphus,,,0.269,,,,240,,,,0.013,,,46,,,,,,,Wild,,,,,,1998-2003,,,,,,,,JEI12NRF,NRF,4,POP
,Jędrzejewski 2012,4. Napiwoda-Ramuki Forest,1940,Roe deer,Capreolus capreolus,Capreolus capreolus,,,0.553,,,,22.4,,,,0.38,,,46,,,,,,,Wild,,,,,,1998-2003,,,,,,,,JEI12NRF,NRF,4,POP
,Jędrzejewski 2012,4. Napiwoda-Ramuki Forest,1940,Wild boar,Sus scrofa,Sus scrofa,,,0.178,,,,84.5,,,,0.094,,,46,,,,,,,Wild,,,,,,1998-2003,,,,,,,,JEI12NRF,NRF,4,POP
,Jędrzejewski 2012,5.  Augustów Forest,1350,Moose,Alces alces,Alces alces,,,,,,,481,,,,0,,,341,,,,,,,Wild,,,,,,2000-2006,,,,,,,,JEI12AGF,AGF,4,POP
,Jędrzejewski 2012,5.  Augustów Forest,1350,Red deer,Cervus elaphus,Cervus elaphus,,,,,,,240,,,,0.3021045576,,,341,,,,,,,Wild,,,,,,2000-2006,,,,,,,,JEI12AGF,AGF,4,POP
,Jędrzejewski 2012,5.  Augustów Forest,1350,Roe deer,Capreolus capreolus,Capreolus capreolus,,,,,,,22.4,,,,0.2372734584,,,341,,,,,,,Wild,,,,,,2000-2006,,,,,,,,JEI12AGF,AGF,4,POP
,Jędrzejewski 2012,5.  Augustów Forest,1350,Wild boar,Sus scrofa,Sus scrofa,,,,,,,84.5,,,,0.1405013405,,,341,,,,,,,Wild,,,,,,2000-2006,,,,,,,,JEI12AGF,AGF,4,POP
,Jędrzejewski 2012,6. Biebrza National Park,640,Moose,Alces alces,Alces alces,,,0.235,,,,481,,,,0.148,,,35,,,,,,,Wild,,,,,,2001-2004,,,,,,,,JEI12BNP,BNP,4,POP
,Jędrzejewski 2012,6. Biebrza National Park,640,Red deer,Cervus elaphus,Cervus elaphus,,,0.203,,,,240,,,,0.102,,,35,,,,,,,Wild,,,,,,2001-2004,,,,,,,,JEI12BNP,BNP,4,POP
,Jędrzejewski 2012,6. Biebrza National Park,640,Roe deer,Capreolus capreolus,Capreolus capreolus,,,0.375,,,,22.4,,,,0.419,,,35,,,,,,,Wild,,,,,,2001-2004,,,,,,,,JEI12BNP,BNP,4,POP
,Jędrzejewski 2012,6. Biebrza National Park,640,Wild boar,Sus scrofa,Sus scrofa,,,0.187,,,,84.5,,,,0,,,35,,,,,,,Wild,,,,,,2001-2004,,,,,,,,JEI12BNP,BNP,4,POP
,Jędrzejewski 2012,7.  Knyszyn Forest,1500,Moose,Alces alces,Alces alces,,,0.016,,,,481,,,,0,,,52,,,,,,,Wild,,,,,,2000-2002,,,,,,,,JEI12KSF,KSF,5,POP
,Jędrzejewski 2012,7.  Knyszyn Forest,1500,Red deer,Cervus elaphus,Cervus elaphus,,,0.216,,,,240,,,,0.159,,,52,,,,,,,Wild,,,,,,2000-2002,,,,,,,,JEI12KSF,KSF,5,POP
,Jędrzejewski 2012,7.  Knyszyn Forest,1500,Roe deer,Capreolus capreolus,Capreolus capreolus,,,0.538,,,,22.4,,,,0.306,,,52,,,,,,,Wild,,,,,,2000-2002,,,,,,,,JEI12KSF,KSF,5,POP
,Jędrzejewski 2012,7.  Knyszyn Forest,1500,Wild boar,Sus scrofa,Sus scrofa,,,0.227,,,,84.5,,,,0.156,,,52,,,,,,,Wild,,,,,,2000-2002,,,,,,,,JEI12KSF,KSF,5,POP
,Jędrzejewski 2012,7.  Knyszyn Forest,1500,Bison,Bison bonasus,Bison bonasus,,,0.003,,,,673,,,,0,,,52,,,,,,,Wild,,,,,,2000-2002,,,,,,,,JEI12KSF,KSF,5,POP
,Jędrzejewski 2012,9.  Sobibór Forest,1910,Moose,Alces alces,Alces alces,,,0.029,,,,481,,,,0,,,38,,,,,,,Wild,,,,,,2000-2005,,,,,,,,JEI12SBF,SBF,4,POP
,Jędrzejewski 2012,9.  Sobibór Forest,1910,Red deer,Cervus elaphus,Cervus elaphus,,,0.134,,,,240,,,,0.358,,,38,,,,,,,Wild,,,,,,2000-2005,,,,,,,,JEI12SBF,SBF,4,POP
,Jędrzejewski 2012,9.  Sobibór Forest,1910,Roe deer,Capreolus capreolus,Capreolus capreolus,,,0.66,,,,22.4,,,,0.572,,,38,,,,,,,Wild,,,,,,2000-2005,,,,,,,,JEI12SBF,SBF,4,POP
,Jędrzejewski 2012,9.  Sobibór Forest,1910,Wild boar,Sus scrofa,Sus scrofa,,,0.177,,,,84.5,,,,0.016,,,38,,,,,,,Wild,,,,,,2000-2005,,,,,,,,JEI12SBF,SBF,4,POP
,Jędrzejewski 2012,10. Roztocze,8590,Moose,Alces alces,Alces alces,,,0.003,,,,481,,,,0,,,39,,,,,,,Wild,,,,,,2000-2003,,,,,,,,JEI12RAS-R,RAS-R,4,POP
,Jędrzejewski 2012,10. Roztocze,8590,Red deer,Cervus elaphus,Cervus elaphus,,,0.24,,,,240,,,,0.195,,,39,,,,,,,Wild,,,,,,2000-2003,,,,,,,,JEI12RAS-R,RAS-R,4,POP
,Jędrzejewski 2012,10. Roztocze,8590,Roe deer,Capreolus capreolus,Capreolus capreolus,,,0.647,,,,22.4,,,,0.577,,,39,,,,,,,Wild,,,,,,2000-2003,,,,,,,,JEI12RAS-R,RAS-R,4,POP
,Jędrzejewski 2012,10. Roztocze,8590,Wild boar,Sus scrofa,Sus scrofa,,,0.11,,,,84.5,,,,0.058,,,39,,,,,,,Wild,,,,,,2000-2003,,,,,,,,JEI12RAS-R,RAS-R,4,POP
,Jędrzejewski 2012,11.  Bieszczady Mountains,780,Moose,Alces alces,Alces alces,,,0,,,,481,,,,0,,,1050,,,,,,,Wild,,,,,,1998-2005,,,,,,,,JEI12BZM,BZM,4,POP
,Jędrzejewski 2012,11.  Bieszczady Mountains,780,Red deer,Cervus elaphus,Cervus elaphus,,,0.533,,,,240,,,,0.442,,,1050,,,,,,,Wild,,,,,,1998-2005,,,,,,,,JEI12BZM,BZM,4,POP
,Jędrzejewski 2012,11.  Bieszczady Mountains,780,Roe deer,Capreolus capreolus,Capreolus capreolus,,,0.405,,,,22.4,,,,0.266,,,1050,,,,,,,Wild,,,,,,1998-2005,,,,,,,,JEI12BZM,BZM,4,POP
,Jędrzejewski 2012,11.  Bieszczady Mountains,780,Wild boar,Sus scrofa,Sus scrofa,,,0.062,,,,84.5,,,,0.151,,,1050,,,,,,,Wild,,,,,,1998-2005,,,,,,,,JEI12BZM,BZM,4,POP
,Jędrzejewski 2012,12. Beskidy Mountains,2190,Moose,Alces alces,Alces alces,,,0,,,,481,,,,,,,667,,,,,,,Wild,,,,,,1999-2004,,,,,,,,JEI12BKM,BKM,4,POP
,Jędrzejewski 2012,12. Beskidy Mountains,2190,Red deer,Cervus elaphus,Cervus elaphus,,,0.352,,,,240,,,,,,,667,,,,,,,Wild,,,,,,1999-2004,,,,,,,,JEI12BKM,BKM,4,POP
,Jędrzejewski 2012,12. Beskidy Mountains,2190,Roe deer,Capreolus capreolus,Capreolus capreolus,,,0.573,,,,22.4,,,,,,,667,,,,,,,Wild,,,,,,1999-2004,,,,,,,,JEI12BKM,BKM,4,POP
,Jędrzejewski 2012,12. Beskidy Mountains,2190,Wild boar,Sus scrofa,Sus scrofa,,,0.075,,,,84.5,,,,,,,667,,,,,,,Wild,,,,,,1999-2004,,,,,,,,JEI12BKM,BKM,4,POP
,Jędrzejewski 2012,13.  Western Beskidy Mountains,1410,Moose,Alces alces,Alces alces,,,0,,,,481,,,,0,,,93,,,,,,,Wild,,,,,,1997-2001,,,,,,,,JEI12WBM,WBM,4,POP
